Equipment:2
Date:2017-2-10
Shift:1
Type,Activity,TimeStart,Other
S,Activity1,0, 
P,Activity2,7, 
P,Activity3,18, 
S,Activity4,24, 
S,Activity5,31, 
S,Activity6,41, 
P,Activity7,52, 
D,Activity8,61, 
S,Activity9,70, 
P,Activity10,78, 
P,Activity11,85, 
S,Activity12,91, 
S,Activity13,97, 
P,Activity14,107, 
D,Activity15,115, 
S,Activity16,126, 
D,Activity17,136, 
S,Activity18,147, 
S,Activity19,154, 
P,Activity20,165, 
S,Activity21,175, 
P,Activity22,185, 
S,Activity23,196, 
P,Activity24,202, 
D,Activity25,210, 
D,Activity26,217, 
S,Activity27,224, 
P,Activity28,231, 
P,Activity29,241, 
S,Activity30,251, 
P,Activity31,259, 
P,Activity32,265, 
P,Activity33,273, 
P,Activity34,279, 
P,Activity35,288, 
P,Activity36,297, 
S,Activity37,306, 
P,Activity38,316, 
P,Activity39,325, 
P,Activity40,336, 
P,Activity41,347, 
P,Activity42,356, 
S,Activity43,366, 
P,Activity44,377, 
D,Activity45,386, 
P,Activity46,396, 
S,Activity47,403, 
P,Activity48,414, 
S,Activity49,420, 
P,Activity50,430, 
P,Activity51,437, 
D,Activity52,446, 
P,Activity53,457, 
S,Activity54,466, 
S,Activity55,477, 
D,Activity56,485, 
S,Activity57,491, 
S,Activity58,502, 
P,Activity59,508, 
S,Activity60,515, 
S,Activity61,521, 
P,Activity62,529, 
P,Activity63,539, 
S,Activity64,547, 
S,Activity65,554, 
S,Activity66,562, 
P,Activity67,571, 
P,Activity68,581, 
S,Activity69,590, 
P,Activity70,597, 
S,Activity71,605, 
P,Activity72,613, 
S,Activity73,621, 
P,Activity74,627, 
P,Activity75,635, 
P,Activity76,642, 
P,Activity77,650, 
S,Activity78,657, 
P,Activity79,663, 
P,Activity80,671, 
P,Activity81,677, 
P,Activity82,687, 
P,Activity83,696, 
S,Activity84,706, 
P,Activity85,715, 
P,Activity86,722, 
S,Activity87,730, 
P,Activity88,739, 
P,Activity89,748, 
S,Activity90,759, 
P,Activity91,766, 
P,Activity92,774, 
S,Activity93,784, 
P,Activity94,795, 
P,Activity95,804, 
P,Activity96,811, 
P,Activity97,820, 
P,Activity98,829, 
P,Activity99,837, 
P,Activity100,846, 
E,EndShift,873, 
