"Equipment","2"
"Type","Shovel"
"Date,""20170321"
"Shift,""2"
"Type","Activity","Time Start","Other"
"P","Activity","0", 
"P","Activity 2","7", 
"P","Activity 3","14", 
"P","Activity 4","24", 
"P","Activity 5","35", 
"P","Activity 6","43", 
"P","Activity 7","49", 
"P","Activity 8","60", 
"D","Activity 9","70", 
"D","Activity 10","77", 
"P","Activity 11","85", 
"S","Activity 12","94", 
"S","Activity 13","102", 
"P","Activity 14","109", 
"P","Activity 15","115", 
"P","Activity 16","124", 
"D","Activity 17","130", 
"P","Activity 18","137", 
"P","Activity 19","146", 
"D","Activity 20","157", 
"E","EndShift","183", 
