Equipment:2
Date:2017-2-11
Shift:3
Type,Activity,TimeStart,Other
S,Activity1,0, 
P,Activity2,6, 
P,Activity3,12, 
D,Activity4,21, 
P,Activity5,31, 
S,Activity6,40, 
P,Activity7,49, 
P,Activity8,56, 
P,Activity9,62, 
P,Activity10,71, 
P,Activity11,77, 
P,Activity12,84, 
P,Activity13,91, 
P,Activity14,97, 
P,Activity15,106, 
P,Activity16,116, 
S,Activity17,123, 
P,Activity18,132, 
S,Activity19,138, 
P,Activity20,145, 
P,Activity21,154, 
P,Activity22,164, 
P,Activity23,173, 
P,Activity24,182, 
D,Activity25,190, 
P,Activity26,197, 
S,Activity27,205, 
S,Activity28,213, 
S,Activity29,223, 
S,Activity30,230, 
P,Activity31,241, 
S,Activity32,250, 
D,Activity33,258, 
P,Activity34,264, 
P,Activity35,273, 
S,Activity36,279, 
P,Activity37,288, 
P,Activity38,294, 
P,Activity39,301, 
P,Activity40,310, 
P,Activity41,319, 
P,Activity42,325, 
P,Activity43,334, 
S,Activity44,341, 
S,Activity45,352, 
P,Activity46,359, 
P,Activity47,368, 
P,Activity48,379, 
P,Activity49,387, 
P,Activity50,398, 
S,Activity51,409, 
P,Activity52,416, 
P,Activity53,423, 
P,Activity54,429, 
D,Activity55,436, 
D,Activity56,443, 
P,Activity57,449, 
D,Activity58,455, 
P,Activity59,466, 
P,Activity60,472, 
P,Activity61,481, 
P,Activity62,491, 
P,Activity63,501, 
S,Activity64,507, 
P,Activity65,515, 
S,Activity66,524, 
S,Activity67,530, 
P,Activity68,536, 
P,Activity69,542, 
S,Activity70,551, 
P,Activity71,557, 
P,Activity72,567, 
P,Activity73,573, 
P,Activity74,580, 
P,Activity75,589, 
D,Activity76,596, 
P,Activity77,605, 
P,Activity78,615, 
P,Activity79,623, 
D,Activity80,632, 
P,Activity81,639, 
S,Activity82,646, 
S,Activity83,654, 
P,Activity84,664, 
S,Activity85,671, 
S,Activity86,682, 
D,Activity87,692, 
P,Activity88,701, 
P,Activity89,710, 
D,Activity90,718, 
P,Activity91,726, 
P,Activity92,734, 
P,Activity93,745, 
S,Activity94,753, 
P,Activity95,762, 
P,Activity96,773, 
D,Activity97,780, 
P,Activity98,787, 
S,Activity99,797, 
S,Activity100,807, 
E,EndShift,819, 
