"Equipment","1"
"Type","Shovel"
"Date","20170420"
"Shift","2"
"Type","Activity","Time Start","Operator"
"D","Activity","0","operator"
"P","Activity 2","11","operator"
"P","Activity 3","19","operator"
"S","Activity 4","28","operator"
"P","Activity 5","34","operator"
"P","Activity 6","45","operator"
"P","Activity 7","56","operator"
"P","Activity 8","66","operator"
"D","Activity 9","75","operator"
"P","Activity 10","81","operator"
"P","Activity 11","92","operator"
"P","Activity 12","98","operator"
"P","Activity 13","107","operator"
"P","Activity 14","113","operator"
"S","Activity 15","121","operator"
"D","Activity 16","132","operator"
"P","Activity 17","139","operator"
"P","Activity 18","145","operator"
"D","Activity 19","154","operator"
"P","Activity 20","161","operator"
"E","EndShift","184","operator"
