Equipment:1
Date:2017-2-15
Shift:2
Type,Activity,TimeStart,Other
P,Activity1,0, 
P,Activity2,11, 
P,Activity3,22, 
P,Activity4,31, 
P,Activity5,39, 
P,Activity6,46, 
P,Activity7,52, 
D,Activity8,58, 
P,Activity9,67, 
P,Activity10,76, 
P,Activity11,83, 
D,Activity12,92, 
S,Activity13,102, 
P,Activity14,110, 
S,Activity15,117, 
S,Activity16,125, 
P,Activity17,132, 
P,Activity18,138, 
S,Activity19,149, 
P,Activity20,159, 
D,Activity21,165, 
P,Activity22,173, 
S,Activity23,181, 
P,Activity24,189, 
P,Activity25,200, 
S,Activity26,210, 
S,Activity27,219, 
S,Activity28,226, 
P,Activity29,233, 
S,Activity30,242, 
P,Activity31,253, 
P,Activity32,262, 
P,Activity33,271, 
D,Activity34,279, 
P,Activity35,288, 
P,Activity36,298, 
P,Activity37,306, 
D,Activity38,315, 
P,Activity39,322, 
P,Activity40,333, 
S,Activity41,344, 
P,Activity42,353, 
S,Activity43,359, 
D,Activity44,366, 
P,Activity45,372, 
S,Activity46,383, 
P,Activity47,393, 
P,Activity48,404, 
P,Activity49,415, 
P,Activity50,424, 
P,Activity51,432, 
P,Activity52,438, 
P,Activity53,444, 
D,Activity54,452, 
S,Activity55,458, 
P,Activity56,464, 
S,Activity57,471, 
P,Activity58,482, 
P,Activity59,493, 
D,Activity60,501, 
P,Activity61,507, 
D,Activity62,515, 
P,Activity63,524, 
P,Activity64,530, 
P,Activity65,539, 
P,Activity66,550, 
S,Activity67,559, 
S,Activity68,566, 
S,Activity69,575, 
P,Activity70,583, 
S,Activity71,590, 
S,Activity72,599, 
P,Activity73,606, 
D,Activity74,614, 
D,Activity75,624, 
S,Activity76,630, 
S,Activity77,639, 
P,Activity78,647, 
P,Activity79,653, 
P,Activity80,662, 
P,Activity81,669, 
S,Activity82,678, 
S,Activity83,686, 
S,Activity84,696, 
P,Activity85,706, 
P,Activity86,715, 
P,Activity87,726, 
P,Activity88,732, 
P,Activity89,738, 
P,Activity90,747, 
P,Activity91,754, 
P,Activity92,765, 
P,Activity93,776, 
S,Activity94,782, 
P,Activity95,788, 
P,Activity96,795, 
D,Activity97,806, 
P,Activity98,817, 
P,Activity99,828, 
P,Activity100,837, 
E,EndShift,861, 
