"Equipment","1"
"Type","Shovel"
"Date,""20170320"
"Shift,""1"
"Type","Activity","Time Start","Other"
"P","Activity","0", 
"P","Activity 2","6", 
"P","Activity 3","15", 
"P","Activity 4","21", 
"P","Activity 5","32", 
"P","Activity 6","40", 
"S","Activity 7","50", 
"P","Activity 8","61", 
"P","Activity 9","67", 
"P","Activity 10","74", 
"P","Activity 11","82", 
"P","Activity 12","92", 
"P","Activity 13","102", 
"P","Activity 14","112", 
"P","Activity 15","120", 
"S","Activity 16","129", 
"P","Activity 17","136", 
"S","Activity 18","142", 
"S","Activity 19","149", 
"P","Activity 20","155", 
"E","EndShift","173", 
