Equipment:2
Date:2017-2-11
Shift:1
Type,Activity,TimeStart,Other
P,Activity1,0, 
P,Activity2,7, 
P,Activity3,16, 
S,Activity4,27, 
P,Activity5,38, 
S,Activity6,45, 
S,Activity7,53, 
P,Activity8,60, 
S,Activity9,66, 
S,Activity10,76, 
P,Activity11,83, 
S,Activity12,89, 
P,Activity13,96, 
P,Activity14,107, 
D,Activity15,113, 
D,Activity16,122, 
P,Activity17,130, 
P,Activity18,136, 
P,Activity19,142, 
P,Activity20,149, 
P,Activity21,159, 
S,Activity22,165, 
D,Activity23,174, 
P,Activity24,180, 
P,Activity25,188, 
D,Activity26,195, 
P,Activity27,203, 
S,Activity28,209, 
P,Activity29,219, 
S,Activity30,228, 
P,Activity31,235, 
P,Activity32,246, 
P,Activity33,253, 
P,Activity34,262, 
D,Activity35,269, 
P,Activity36,276, 
P,Activity37,283, 
D,Activity38,293, 
P,Activity39,303, 
D,Activity40,311, 
P,Activity41,322, 
P,Activity42,328, 
S,Activity43,336, 
P,Activity44,344, 
P,Activity45,350, 
P,Activity46,358, 
S,Activity47,368, 
P,Activity48,377, 
P,Activity49,387, 
P,Activity50,398, 
P,Activity51,406, 
P,Activity52,416, 
P,Activity53,422, 
D,Activity54,433, 
S,Activity55,443, 
P,Activity56,451, 
P,Activity57,460, 
S,Activity58,470, 
P,Activity59,478, 
S,Activity60,486, 
S,Activity61,493, 
P,Activity62,503, 
P,Activity63,510, 
P,Activity64,517, 
P,Activity65,523, 
P,Activity66,532, 
D,Activity67,541, 
P,Activity68,550, 
P,Activity69,557, 
D,Activity70,563, 
S,Activity71,570, 
S,Activity72,577, 
P,Activity73,588, 
P,Activity74,594, 
P,Activity75,602, 
P,Activity76,613, 
D,Activity77,624, 
S,Activity78,634, 
P,Activity79,644, 
D,Activity80,651, 
S,Activity81,659, 
P,Activity82,670, 
P,Activity83,681, 
P,Activity84,692, 
P,Activity85,701, 
S,Activity86,708, 
P,Activity87,718, 
P,Activity88,728, 
S,Activity89,738, 
P,Activity90,746, 
P,Activity91,752, 
P,Activity92,758, 
S,Activity93,766, 
S,Activity94,774, 
P,Activity95,782, 
P,Activity96,789, 
P,Activity97,797, 
D,Activity98,805, 
P,Activity99,814, 
P,Activity100,820, 
E,EndShift,842, 
