Equipment:3
Date:2017-2-9
Shift:3
Type,Activity,TimeStart,Other
P,Activity1,0, 
S,Activity2,6, 
S,Activity3,16, 
P,Activity4,24, 
D,Activity5,33, 
P,Activity6,44, 
S,Activity7,51, 
P,Activity8,60, 
P,Activity9,71, 
S,Activity10,77, 
D,Activity11,85, 
P,Activity12,92, 
P,Activity13,103, 
P,Activity14,114, 
D,Activity15,122, 
P,Activity16,129, 
S,Activity17,138, 
P,Activity18,147, 
S,Activity19,157, 
S,Activity20,168, 
P,Activity21,179, 
S,Activity22,185, 
S,Activity23,193, 
P,Activity24,204, 
P,Activity25,214, 
P,Activity26,222, 
D,Activity27,232, 
P,Activity28,240, 
S,Activity29,249, 
P,Activity30,256, 
S,Activity31,263, 
D,Activity32,270, 
S,Activity33,279, 
D,Activity34,287, 
P,Activity35,295, 
P,Activity36,304, 
P,Activity37,312, 
D,Activity38,319, 
S,Activity39,329, 
S,Activity40,335, 
P,Activity41,346, 
D,Activity42,357, 
S,Activity43,366, 
D,Activity44,377, 
P,Activity45,388, 
P,Activity46,395, 
P,Activity47,406, 
P,Activity48,416, 
S,Activity49,427, 
P,Activity50,438, 
P,Activity51,447, 
P,Activity52,458, 
S,Activity53,466, 
P,Activity54,477, 
P,Activity55,488, 
S,Activity56,495, 
P,Activity57,505, 
D,Activity58,512, 
P,Activity59,520, 
P,Activity60,529, 
P,Activity61,538, 
D,Activity62,547, 
S,Activity63,555, 
P,Activity64,566, 
D,Activity65,574, 
P,Activity66,583, 
P,Activity67,591, 
S,Activity68,601, 
P,Activity69,611, 
P,Activity70,621, 
P,Activity71,631, 
S,Activity72,640, 
S,Activity73,651, 
P,Activity74,657, 
S,Activity75,667, 
P,Activity76,673, 
P,Activity77,679, 
P,Activity78,689, 
P,Activity79,697, 
D,Activity80,705, 
P,Activity81,716, 
P,Activity82,727, 
P,Activity83,738, 
D,Activity84,747, 
P,Activity85,753, 
P,Activity86,761, 
P,Activity87,768, 
D,Activity88,774, 
P,Activity89,782, 
P,Activity90,788, 
D,Activity91,799, 
D,Activity92,805, 
P,Activity93,814, 
P,Activity94,822, 
S,Activity95,828, 
P,Activity96,838, 
D,Activity97,847, 
P,Activity98,855, 
P,Activity99,863, 
P,Activity100,870, 
E,EndShift,889, 
