Equipment:3
Date:2017-2-10
Shift:3
Type,Activity,TimeStart,Other
S,Activity1,0, 
S,Activity2,8, 
S,Activity3,19, 
S,Activity4,29, 
P,Activity5,38, 
P,Activity6,45, 
S,Activity7,56, 
P,Activity8,65, 
P,Activity9,76, 
D,Activity10,83, 
S,Activity11,90, 
S,Activity12,99, 
P,Activity13,110, 
P,Activity14,118, 
P,Activity15,126, 
P,Activity16,137, 
P,Activity17,144, 
P,Activity18,150, 
P,Activity19,161, 
S,Activity20,168, 
S,Activity21,179, 
P,Activity22,189, 
S,Activity23,197, 
P,Activity24,207, 
D,Activity25,215, 
P,Activity26,221, 
P,Activity27,228, 
P,Activity28,238, 
P,Activity29,248, 
S,Activity30,254, 
P,Activity31,262, 
S,Activity32,273, 
P,Activity33,281, 
P,Activity34,289, 
P,Activity35,298, 
D,Activity36,307, 
P,Activity37,316, 
P,Activity38,327, 
P,Activity39,336, 
S,Activity40,344, 
S,Activity41,353, 
P,Activity42,364, 
P,Activity43,375, 
S,Activity44,386, 
P,Activity45,397, 
S,Activity46,404, 
P,Activity47,412, 
S,Activity48,420, 
P,Activity49,429, 
P,Activity50,437, 
S,Activity51,444, 
P,Activity52,453, 
S,Activity53,464, 
P,Activity54,474, 
P,Activity55,483, 
P,Activity56,493, 
P,Activity57,499, 
P,Activity58,508, 
P,Activity59,517, 
P,Activity60,524, 
P,Activity61,530, 
S,Activity62,540, 
S,Activity63,550, 
D,Activity64,561, 
P,Activity65,568, 
D,Activity66,576, 
P,Activity67,583, 
D,Activity68,592, 
S,Activity69,600, 
P,Activity70,610, 
S,Activity71,617, 
P,Activity72,625, 
P,Activity73,634, 
P,Activity74,640, 
P,Activity75,648, 
P,Activity76,658, 
P,Activity77,665, 
D,Activity78,674, 
P,Activity79,683, 
S,Activity80,693, 
S,Activity81,700, 
P,Activity82,710, 
S,Activity83,721, 
S,Activity84,730, 
P,Activity85,737, 
P,Activity86,744, 
P,Activity87,754, 
D,Activity88,761, 
P,Activity89,767, 
S,Activity90,773, 
P,Activity91,779, 
S,Activity92,790, 
P,Activity93,800, 
S,Activity94,810, 
D,Activity95,821, 
P,Activity96,827, 
P,Activity97,834, 
P,Activity98,842, 
D,Activity99,852, 
P,Activity100,861, 
E,EndShift,872, 
