"Equipment","1"
"Type","Shovel"
"Date","20170420"
"Shift","1"
"Type","Activity","Time Start","Operator"
"S","Activity","0","operator"
"P","Activity 2","9","operator"
"S","Activity 3","16","operator"
"P","Activity 4","27","operator"
"P","Activity 5","37","operator"
"S","Activity 6","44","operator"
"D","Activity 7","50","operator"
"P","Activity 8","61","operator"
"P","Activity 9","70","operator"
"P","Activity 10","80","operator"
"P","Activity 11","86","operator"
"P","Activity 12","95","operator"
"P","Activity 13","103","operator"
"P","Activity 14","113","operator"
"S","Activity 15","123","operator"
"P","Activity 16","130","operator"
"P","Activity 17","136","operator"
"S","Activity 18","142","operator"
"D","Activity 19","152","operator"
"P","Activity 20","161","operator"
"E","EndShift","186","operator"
