Equipment:1
Date:2017-2-14
Shift:3
Type,Activity,TimeStart,Other
P,Activity1,0, 
P,Activity2,10, 
S,Activity3,18, 
P,Activity4,24, 
P,Activity5,34, 
P,Activity6,40, 
P,Activity7,47, 
D,Activity8,53, 
D,Activity9,59, 
P,Activity10,69, 
S,Activity11,77, 
P,Activity12,87, 
P,Activity13,93, 
S,Activity14,101, 
P,Activity15,108, 
D,Activity16,118, 
P,Activity17,127, 
P,Activity18,133, 
S,Activity19,139, 
P,Activity20,148, 
P,Activity21,155, 
D,Activity22,165, 
D,Activity23,174, 
P,Activity24,184, 
P,Activity25,192, 
P,Activity26,203, 
P,Activity27,209, 
P,Activity28,218, 
P,Activity29,228, 
P,Activity30,238, 
S,Activity31,248, 
D,Activity32,255, 
S,Activity33,264, 
P,Activity34,274, 
P,Activity35,280, 
P,Activity36,289, 
P,Activity37,297, 
P,Activity38,303, 
P,Activity39,313, 
S,Activity40,319, 
D,Activity41,328, 
P,Activity42,336, 
P,Activity43,345, 
P,Activity44,355, 
P,Activity45,362, 
P,Activity46,370, 
S,Activity47,378, 
S,Activity48,387, 
P,Activity49,396, 
P,Activity50,404, 
S,Activity51,414, 
S,Activity52,424, 
D,Activity53,432, 
P,Activity54,443, 
S,Activity55,451, 
S,Activity56,460, 
P,Activity57,469, 
P,Activity58,476, 
P,Activity59,482, 
P,Activity60,492, 
D,Activity61,503, 
S,Activity62,509, 
P,Activity63,519, 
P,Activity64,529, 
P,Activity65,538, 
S,Activity66,549, 
P,Activity67,557, 
P,Activity68,564, 
P,Activity69,575, 
S,Activity70,583, 
S,Activity71,591, 
S,Activity72,597, 
S,Activity73,605, 
S,Activity74,616, 
S,Activity75,622, 
P,Activity76,629, 
S,Activity77,640, 
P,Activity78,650, 
D,Activity79,656, 
P,Activity80,663, 
P,Activity81,673, 
S,Activity82,682, 
P,Activity83,691, 
P,Activity84,698, 
P,Activity85,709, 
P,Activity86,715, 
P,Activity87,726, 
P,Activity88,735, 
P,Activity89,743, 
S,Activity90,752, 
S,Activity91,762, 
P,Activity92,768, 
P,Activity93,777, 
P,Activity94,787, 
P,Activity95,797, 
S,Activity96,808, 
P,Activity97,819, 
P,Activity98,829, 
P,Activity99,835, 
P,Activity100,843, 
E,EndShift,854, 
