Equipment:1
Date:2017-2-13
Shift:1
Type,Activity,TimeStart,Other
S,Activity1,0, 
P,Activity2,8, 
P,Activity3,16, 
S,Activity4,27, 
P,Activity5,35, 
D,Activity6,42, 
P,Activity7,48, 
P,Activity8,54, 
S,Activity9,65, 
P,Activity10,72, 
S,Activity11,81, 
S,Activity12,88, 
D,Activity13,96, 
S,Activity14,106, 
P,Activity15,117, 
P,Activity16,126, 
S,Activity17,135, 
P,Activity18,146, 
D,Activity19,153, 
P,Activity20,161, 
P,Activity21,172, 
P,Activity22,183, 
S,Activity23,192, 
S,Activity24,202, 
P,Activity25,208, 
P,Activity26,217, 
D,Activity27,225, 
P,Activity28,234, 
P,Activity29,240, 
D,Activity30,247, 
S,Activity31,255, 
P,Activity32,262, 
P,Activity33,269, 
S,Activity34,275, 
S,Activity35,286, 
P,Activity36,293, 
P,Activity37,301, 
S,Activity38,308, 
S,Activity39,315, 
P,Activity40,321, 
P,Activity41,332, 
S,Activity42,341, 
S,Activity43,352, 
P,Activity44,363, 
P,Activity45,371, 
S,Activity46,379, 
P,Activity47,389, 
D,Activity48,395, 
P,Activity49,404, 
P,Activity50,410, 
P,Activity51,418, 
D,Activity52,427, 
S,Activity53,434, 
S,Activity54,445, 
P,Activity55,453, 
P,Activity56,461, 
P,Activity57,471, 
S,Activity58,479, 
P,Activity59,489, 
P,Activity60,496, 
D,Activity61,503, 
S,Activity62,510, 
S,Activity63,516, 
P,Activity64,525, 
S,Activity65,533, 
P,Activity66,541, 
S,Activity67,552, 
D,Activity68,563, 
S,Activity69,570, 
P,Activity70,576, 
P,Activity71,587, 
S,Activity72,596, 
P,Activity73,604, 
P,Activity74,614, 
P,Activity75,623, 
P,Activity76,632, 
P,Activity77,640, 
P,Activity78,649, 
P,Activity79,658, 
D,Activity80,664, 
S,Activity81,674, 
S,Activity82,685, 
S,Activity83,691, 
P,Activity84,699, 
P,Activity85,707, 
P,Activity86,717, 
P,Activity87,723, 
P,Activity88,730, 
S,Activity89,741, 
P,Activity90,747, 
S,Activity91,753, 
P,Activity92,763, 
P,Activity93,772, 
D,Activity94,782, 
P,Activity95,793, 
D,Activity96,802, 
S,Activity97,813, 
P,Activity98,822, 
P,Activity99,833, 
P,Activity100,842, 
E,EndShift,866, 
