Equipment:1
Date:2017-2-12
Shift:3
Type,Activity,TimeStart,Other
P,Activity1,0, 
P,Activity2,8, 
P,Activity3,14, 
P,Activity4,20, 
P,Activity5,27, 
S,Activity6,35, 
P,Activity7,44, 
P,Activity8,52, 
D,Activity9,60, 
P,Activity10,66, 
S,Activity11,76, 
P,Activity12,83, 
P,Activity13,93, 
S,Activity14,99, 
P,Activity15,108, 
P,Activity16,117, 
P,Activity17,127, 
S,Activity18,136, 
P,Activity19,146, 
S,Activity20,153, 
P,Activity21,160, 
P,Activity22,171, 
P,Activity23,178, 
S,Activity24,186, 
S,Activity25,193, 
P,Activity26,199, 
P,Activity27,207, 
P,Activity28,217, 
P,Activity29,226, 
P,Activity30,233, 
P,Activity31,243, 
P,Activity32,249, 
S,Activity33,255, 
S,Activity34,264, 
S,Activity35,275, 
P,Activity36,282, 
P,Activity37,292, 
P,Activity38,298, 
P,Activity39,308, 
P,Activity40,317, 
S,Activity41,324, 
P,Activity42,334, 
D,Activity43,345, 
P,Activity44,352, 
D,Activity45,363, 
S,Activity46,373, 
P,Activity47,379, 
P,Activity48,388, 
P,Activity49,394, 
S,Activity50,404, 
S,Activity51,411, 
P,Activity52,422, 
D,Activity53,432, 
P,Activity54,443, 
P,Activity55,454, 
S,Activity56,461, 
P,Activity57,471, 
P,Activity58,478, 
P,Activity59,488, 
P,Activity60,496, 
P,Activity61,504, 
S,Activity62,515, 
P,Activity63,523, 
P,Activity64,533, 
P,Activity65,541, 
S,Activity66,548, 
S,Activity67,558, 
P,Activity68,565, 
P,Activity69,574, 
S,Activity70,583, 
P,Activity71,594, 
P,Activity72,601, 
P,Activity73,608, 
D,Activity74,616, 
P,Activity75,627, 
P,Activity76,638, 
S,Activity77,644, 
P,Activity78,653, 
S,Activity79,661, 
P,Activity80,671, 
P,Activity81,677, 
S,Activity82,683, 
S,Activity83,690, 
P,Activity84,700, 
P,Activity85,708, 
P,Activity86,714, 
P,Activity87,721, 
P,Activity88,727, 
P,Activity89,734, 
P,Activity90,745, 
P,Activity91,752, 
P,Activity92,762, 
P,Activity93,773, 
S,Activity94,783, 
S,Activity95,791, 
P,Activity96,802, 
P,Activity97,812, 
P,Activity98,820, 
P,Activity99,826, 
P,Activity100,835, 
E,EndShift,862, 
