Equipment:1
Date:2017-2-14
Shift:1
Type,Activity,TimeStart,Other
P,Activity1,0, 
S,Activity2,11, 
P,Activity3,19, 
S,Activity4,26, 
D,Activity5,32, 
S,Activity6,39, 
P,Activity7,48, 
S,Activity8,54, 
P,Activity9,63, 
S,Activity10,69, 
D,Activity11,75, 
S,Activity12,82, 
P,Activity13,93, 
P,Activity14,100, 
S,Activity15,107, 
P,Activity16,116, 
P,Activity17,124, 
P,Activity18,133, 
S,Activity19,143, 
P,Activity20,149, 
S,Activity21,157, 
P,Activity22,168, 
S,Activity23,179, 
P,Activity24,186, 
S,Activity25,197, 
P,Activity26,208, 
S,Activity27,216, 
S,Activity28,224, 
P,Activity29,233, 
P,Activity30,243, 
S,Activity31,254, 
P,Activity32,260, 
P,Activity33,271, 
P,Activity34,282, 
P,Activity35,293, 
S,Activity36,304, 
P,Activity37,311, 
P,Activity38,321, 
D,Activity39,331, 
P,Activity40,340, 
P,Activity41,350, 
P,Activity42,358, 
S,Activity43,367, 
P,Activity44,375, 
S,Activity45,386, 
P,Activity46,392, 
S,Activity47,398, 
P,Activity48,407, 
S,Activity49,418, 
D,Activity50,427, 
D,Activity51,438, 
P,Activity52,448, 
P,Activity53,454, 
S,Activity54,460, 
S,Activity55,471, 
P,Activity56,481, 
D,Activity57,487, 
S,Activity58,493, 
P,Activity59,499, 
S,Activity60,508, 
P,Activity61,514, 
P,Activity62,520, 
S,Activity63,530, 
P,Activity64,537, 
P,Activity65,548, 
P,Activity66,555, 
P,Activity67,565, 
P,Activity68,575, 
S,Activity69,582, 
P,Activity70,589, 
S,Activity71,596, 
P,Activity72,602, 
P,Activity73,613, 
D,Activity74,621, 
P,Activity75,627, 
P,Activity76,638, 
P,Activity77,644, 
P,Activity78,654, 
P,Activity79,664, 
D,Activity80,675, 
P,Activity81,686, 
D,Activity82,692, 
S,Activity83,698, 
P,Activity84,704, 
P,Activity85,711, 
S,Activity86,719, 
P,Activity87,729, 
P,Activity88,738, 
P,Activity89,746, 
P,Activity90,752, 
P,Activity91,763, 
P,Activity92,772, 
S,Activity93,778, 
D,Activity94,788, 
D,Activity95,795, 
P,Activity96,803, 
S,Activity97,811, 
S,Activity98,820, 
D,Activity99,831, 
S,Activity100,842, 
E,EndShift,857, 
