Equipment:1
Date:1
Shift:2
Type,Activity,TimeStart,Other
S,Activity1,0, 
S,Activity2,10, 
S,Activity3,19, 
P,Activity4,28, 
S,Activity5,39, 
P,Activity6,50, 
S,Activity7,56, 
P,Activity8,64, 
S,Activity9,74, 
S,Activity10,82, 
P,Activity11,92, 
P,Activity12,103, 
P,Activity13,114, 
S,Activity14,122, 
P,Activity15,128, 
P,Activity16,138, 
P,Activity17,147, 
D,Activity18,158, 
P,Activity19,167, 
P,Activity20,174, 
P,Activity21,185, 
S,Activity22,194, 
S,Activity23,203, 
S,Activity24,212, 
S,Activity25,222, 
P,Activity26,229, 
S,Activity27,235, 
P,Activity28,246, 
S,Activity29,255, 
S,Activity30,264, 
D,Activity31,273, 
D,Activity32,279, 
P,Activity33,287, 
S,Activity34,294, 
P,Activity35,305, 
P,Activity36,315, 
P,Activity37,326, 
S,Activity38,333, 
D,Activity39,344, 
S,Activity40,355, 
D,Activity41,366, 
S,Activity42,376, 
D,Activity43,384, 
P,Activity44,391, 
S,Activity45,397, 
P,Activity46,404, 
S,Activity47,410, 
S,Activity48,417, 
S,Activity49,426, 
P,Activity50,433, 
P,Activity51,444, 
S,Activity52,452, 
S,Activity53,463, 
P,Activity54,472, 
S,Activity55,482, 
P,Activity56,488, 
P,Activity57,499, 
S,Activity58,506, 
P,Activity59,513, 
P,Activity60,521, 
S,Activity61,529, 
P,Activity62,537, 
P,Activity63,547, 
P,Activity64,555, 
P,Activity65,561, 
S,Activity66,569, 
P,Activity67,580, 
D,Activity68,589, 
P,Activity69,595, 
S,Activity70,606, 
S,Activity71,613, 
P,Activity72,619, 
P,Activity73,630, 
P,Activity74,640, 
P,Activity75,646, 
P,Activity76,654, 
P,Activity77,664, 
P,Activity78,672, 
S,Activity79,678, 
D,Activity80,685, 
S,Activity81,693, 
P,Activity82,701, 
S,Activity83,708, 
D,Activity84,716, 
D,Activity85,723, 
P,Activity86,734, 
P,Activity87,744, 
S,Activity88,753, 
P,Activity89,759, 
P,Activity90,765, 
S,Activity91,774, 
D,Activity92,780, 
P,Activity93,789, 
P,Activity94,797, 
S,Activity95,808, 
S,Activity96,816, 
P,Activity97,827, 
P,Activity98,838, 
S,Activity99,845, 
P,Activity100,851, 
E,EndShift,861, 
