Equipment:3
Date:2017-2-9
Shift:1
Type,Activity,TimeStart,Other
S,Activity1,0, 
P,Activity2,9, 
S,Activity3,19, 
P,Activity4,29, 
P,Activity5,39, 
P,Activity6,48, 
P,Activity7,58, 
P,Activity8,65, 
S,Activity9,71, 
P,Activity10,81, 
P,Activity11,90, 
S,Activity12,96, 
P,Activity13,102, 
P,Activity14,112, 
P,Activity15,119, 
P,Activity16,127, 
P,Activity17,137, 
P,Activity18,148, 
P,Activity19,155, 
P,Activity20,162, 
P,Activity21,170, 
P,Activity22,177, 
P,Activity23,184, 
S,Activity24,195, 
P,Activity25,203, 
D,Activity26,214, 
P,Activity27,224, 
D,Activity28,230, 
P,Activity29,240, 
D,Activity30,247, 
P,Activity31,258, 
S,Activity32,264, 
P,Activity33,274, 
D,Activity34,284, 
P,Activity35,292, 
P,Activity36,302, 
S,Activity37,310, 
P,Activity38,316, 
P,Activity39,323, 
D,Activity40,332, 
S,Activity41,339, 
P,Activity42,347, 
P,Activity43,354, 
P,Activity44,363, 
S,Activity45,370, 
P,Activity46,381, 
S,Activity47,388, 
P,Activity48,399, 
P,Activity49,407, 
P,Activity50,413, 
S,Activity51,424, 
S,Activity52,435, 
P,Activity53,446, 
P,Activity54,457, 
P,Activity55,466, 
P,Activity56,472, 
P,Activity57,480, 
P,Activity58,487, 
S,Activity59,498, 
P,Activity60,507, 
D,Activity61,517, 
P,Activity62,528, 
D,Activity63,537, 
D,Activity64,545, 
P,Activity65,554, 
S,Activity66,563, 
D,Activity67,569, 
P,Activity68,575, 
S,Activity69,586, 
P,Activity70,595, 
P,Activity71,606, 
P,Activity72,614, 
P,Activity73,624, 
D,Activity74,635, 
P,Activity75,646, 
S,Activity76,652, 
S,Activity77,659, 
S,Activity78,666, 
S,Activity79,677, 
S,Activity80,686, 
P,Activity81,696, 
P,Activity82,703, 
P,Activity83,709, 
P,Activity84,718, 
S,Activity85,725, 
S,Activity86,731, 
S,Activity87,737, 
S,Activity88,747, 
P,Activity89,754, 
P,Activity90,760, 
P,Activity91,771, 
S,Activity92,779, 
P,Activity93,788, 
D,Activity94,796, 
P,Activity95,805, 
S,Activity96,814, 
P,Activity97,825, 
S,Activity98,832, 
P,Activity99,842, 
D,Activity100,853, 
E,EndShift,863, 
