"Equipment","1"
"Type","Shovel"
"Date","20170415"
"Shift","3"
"Type","Activity","Time Start","Operator"
"P","Activity","0",operator
"P","Activity 2","9","operator"
"P","Activity 3","20","operator"
"P","Activity 4","31","operator"
"P","Activity 5","37","operator"
"S","Activity 6","46","operator"
"P","Activity 7","57","operator"
"S","Activity 8","63","operator"
"P","Activity 9","72","operator"
"P","Activity 10","80","operator"
"S","Activity 11","88","operator"
"D","Activity 12","95","operator"
"P","Activity 13","103","operator"
"S","Activity 14","113","operator"
"P","Activity 15","124","operator"
"S","Activity 16","133","operator"
"P","Activity 17","143","operator"
"P","Activity 18","149","operator"
"P","Activity 19","160","operator"
"P","Activity 20","171","operator"
"E","EndShift","189","operator"
