Equipment:3
Date:2
Shift:1
Type,Activity,TimeStart,Other
P,Activity1,0, 
P,Activity2,8, 
S,Activity3,19, 
P,Activity4,30, 
P,Activity5,41, 
P,Activity6,49, 
P,Activity7,57, 
P,Activity8,68, 
P,Activity9,79, 
P,Activity10,87, 
P,Activity11,98, 
S,Activity12,107, 
P,Activity13,113, 
S,Activity14,119, 
P,Activity15,130, 
S,Activity16,141, 
D,Activity17,150, 
P,Activity18,158, 
P,Activity19,164, 
S,Activity20,170, 
P,Activity21,176, 
S,Activity22,186, 
D,Activity23,194, 
S,Activity24,202, 
P,Activity25,208, 
P,Activity26,216, 
S,Activity27,223, 
P,Activity28,233, 
S,Activity29,240, 
S,Activity30,251, 
P,Activity31,258, 
S,Activity32,268, 
P,Activity33,276, 
S,Activity34,287, 
S,Activity35,293, 
P,Activity36,300, 
D,Activity37,311, 
P,Activity38,322, 
S,Activity39,331, 
S,Activity40,338, 
P,Activity41,347, 
S,Activity42,355, 
S,Activity43,361, 
S,Activity44,367, 
S,Activity45,376, 
S,Activity46,383, 
S,Activity47,391, 
S,Activity48,398, 
S,Activity49,408, 
P,Activity50,417, 
P,Activity51,424, 
D,Activity52,433, 
P,Activity53,440, 
S,Activity54,449, 
P,Activity55,458, 
S,Activity56,465, 
P,Activity57,475, 
P,Activity58,485, 
P,Activity59,494, 
P,Activity60,504, 
P,Activity61,513, 
P,Activity62,521, 
P,Activity63,531, 
S,Activity64,539, 
D,Activity65,550, 
P,Activity66,561, 
S,Activity67,567, 
D,Activity68,575, 
P,Activity69,586, 
D,Activity70,594, 
P,Activity71,603, 
S,Activity72,614, 
P,Activity73,622, 
P,Activity74,628, 
P,Activity75,637, 
S,Activity76,643, 
S,Activity77,650, 
P,Activity78,656, 
S,Activity79,662, 
P,Activity80,669, 
P,Activity81,679, 
S,Activity82,688, 
S,Activity83,698, 
P,Activity84,704, 
S,Activity85,714, 
S,Activity86,724, 
P,Activity87,735, 
P,Activity88,743, 
S,Activity89,754, 
P,Activity90,765, 
P,Activity91,773, 
S,Activity92,784, 
P,Activity93,793, 
P,Activity94,803, 
P,Activity95,813, 
P,Activity96,822, 
P,Activity97,831, 
S,Activity98,837, 
P,Activity99,848, 
S,Activity100,854, 
E,EndShift,874, 
