Equipment:1
Date:2017-2-14
Shift:2
Type,Activity,TimeStart,Other
P,Activity1,0, 
P,Activity2,6, 
P,Activity3,17, 
P,Activity4,24, 
S,Activity5,34, 
P,Activity6,42, 
P,Activity7,48, 
S,Activity8,57, 
S,Activity9,64, 
S,Activity10,73, 
P,Activity11,80, 
S,Activity12,88, 
P,Activity13,94, 
P,Activity14,103, 
P,Activity15,109, 
P,Activity16,120, 
D,Activity17,128, 
S,Activity18,136, 
P,Activity19,144, 
P,Activity20,152, 
D,Activity21,159, 
P,Activity22,169, 
P,Activity23,178, 
P,Activity24,188, 
P,Activity25,194, 
D,Activity26,201, 
S,Activity27,210, 
S,Activity28,216, 
S,Activity29,222, 
S,Activity30,231, 
D,Activity31,239, 
P,Activity32,248, 
D,Activity33,254, 
P,Activity34,261, 
P,Activity35,271, 
S,Activity36,281, 
D,Activity37,290, 
P,Activity38,299, 
P,Activity39,306, 
P,Activity40,313, 
P,Activity41,319, 
P,Activity42,328, 
S,Activity43,335, 
S,Activity44,344, 
P,Activity45,352, 
P,Activity46,359, 
P,Activity47,370, 
S,Activity48,376, 
P,Activity49,386, 
P,Activity50,394, 
S,Activity51,401, 
P,Activity52,408, 
P,Activity53,417, 
P,Activity54,428, 
S,Activity55,436, 
P,Activity56,445, 
P,Activity57,454, 
P,Activity58,461, 
P,Activity59,468, 
P,Activity60,478, 
S,Activity61,484, 
P,Activity62,493, 
S,Activity63,503, 
P,Activity64,509, 
P,Activity65,519, 
P,Activity66,528, 
P,Activity67,539, 
D,Activity68,546, 
S,Activity69,554, 
P,Activity70,565, 
P,Activity71,576, 
D,Activity72,582, 
P,Activity73,588, 
P,Activity74,595, 
D,Activity75,604, 
S,Activity76,615, 
S,Activity77,624, 
D,Activity78,632, 
P,Activity79,638, 
P,Activity80,644, 
P,Activity81,654, 
S,Activity82,661, 
P,Activity83,670, 
P,Activity84,678, 
P,Activity85,687, 
S,Activity86,698, 
P,Activity87,704, 
S,Activity88,715, 
D,Activity89,723, 
D,Activity90,730, 
P,Activity91,739, 
S,Activity92,750, 
P,Activity93,758, 
S,Activity94,764, 
D,Activity95,774, 
S,Activity96,782, 
S,Activity97,790, 
P,Activity98,801, 
P,Activity99,811, 
P,Activity100,821, 
E,EndShift,833, 
