Equipment:3
Date:1
Shift:2
Type,Activity,TimeStart,Other
S,Activity1,0, 
P,Activity2,11, 
D,Activity3,20, 
S,Activity4,26, 
P,Activity5,32, 
S,Activity6,39, 
S,Activity7,47, 
P,Activity8,58, 
P,Activity9,65, 
S,Activity10,71, 
D,Activity11,82, 
S,Activity12,92, 
P,Activity13,99, 
P,Activity14,107, 
P,Activity15,118, 
P,Activity16,127, 
P,Activity17,135, 
P,Activity18,146, 
P,Activity19,153, 
P,Activity20,162, 
P,Activity21,169, 
D,Activity22,179, 
P,Activity23,186, 
S,Activity24,194, 
P,Activity25,200, 
D,Activity26,211, 
P,Activity27,221, 
P,Activity28,230, 
P,Activity29,237, 
P,Activity30,248, 
P,Activity31,256, 
P,Activity32,264, 
S,Activity33,275, 
P,Activity34,282, 
P,Activity35,290, 
S,Activity36,297, 
S,Activity37,308, 
P,Activity38,318, 
S,Activity39,325, 
S,Activity40,334, 
S,Activity41,342, 
P,Activity42,352, 
S,Activity43,363, 
S,Activity44,370, 
D,Activity45,379, 
D,Activity46,387, 
P,Activity47,394, 
P,Activity48,405, 
S,Activity49,411, 
P,Activity50,420, 
S,Activity51,429, 
S,Activity52,438, 
P,Activity53,448, 
S,Activity54,455, 
P,Activity55,466, 
P,Activity56,472, 
P,Activity57,482, 
D,Activity58,489, 
S,Activity59,500, 
S,Activity60,511, 
D,Activity61,517, 
P,Activity62,524, 
P,Activity63,532, 
S,Activity64,539, 
S,Activity65,550, 
S,Activity66,560, 
S,Activity67,571, 
P,Activity68,577, 
P,Activity69,586, 
P,Activity70,595, 
P,Activity71,601, 
P,Activity72,609, 
P,Activity73,620, 
P,Activity74,626, 
P,Activity75,634, 
S,Activity76,641, 
S,Activity77,648, 
S,Activity78,659, 
P,Activity79,665, 
P,Activity80,674, 
S,Activity81,682, 
P,Activity82,693, 
S,Activity83,701, 
P,Activity84,712, 
P,Activity85,720, 
D,Activity86,728, 
S,Activity87,736, 
S,Activity88,742, 
S,Activity89,749, 
P,Activity90,758, 
S,Activity91,767, 
P,Activity92,776, 
P,Activity93,786, 
P,Activity94,797, 
P,Activity95,803, 
P,Activity96,810, 
P,Activity97,821, 
P,Activity98,830, 
S,Activity99,839, 
S,Activity100,847, 
E,EndShift,874, 
