Equipment:3
Date:4
Shift:3
Type,Activity,TimeStart,Other
S,Activity1,0, 
P,Activity2,9, 
D,Activity3,16, 
P,Activity4,22, 
P,Activity5,32, 
S,Activity6,43, 
S,Activity7,52, 
S,Activity8,61, 
P,Activity9,68, 
S,Activity10,78, 
P,Activity11,88, 
S,Activity12,94, 
P,Activity13,102, 
D,Activity14,112, 
P,Activity15,118, 
P,Activity16,126, 
P,Activity17,133, 
P,Activity18,144, 
S,Activity19,151, 
S,Activity20,157, 
P,Activity21,165, 
P,Activity22,175, 
D,Activity23,186, 
P,Activity24,193, 
P,Activity25,203, 
D,Activity26,213, 
P,Activity27,222, 
S,Activity28,230, 
D,Activity29,238, 
P,Activity30,246, 
P,Activity31,252, 
P,Activity32,263, 
S,Activity33,269, 
S,Activity34,279, 
D,Activity35,287, 
S,Activity36,293, 
P,Activity37,302, 
S,Activity38,311, 
D,Activity39,319, 
S,Activity40,326, 
S,Activity41,335, 
P,Activity42,341, 
S,Activity43,349, 
S,Activity44,360, 
P,Activity45,367, 
D,Activity46,377, 
P,Activity47,387, 
S,Activity48,394, 
S,Activity49,401, 
S,Activity50,408, 
P,Activity51,415, 
S,Activity52,422, 
P,Activity53,429, 
S,Activity54,440, 
P,Activity55,446, 
S,Activity56,454, 
D,Activity57,463, 
S,Activity58,472, 
P,Activity59,483, 
P,Activity60,490, 
S,Activity61,496, 
S,Activity62,505, 
D,Activity63,513, 
D,Activity64,523, 
S,Activity65,533, 
P,Activity66,543, 
P,Activity67,549, 
P,Activity68,558, 
P,Activity69,564, 
P,Activity70,571, 
S,Activity71,580, 
P,Activity72,588, 
S,Activity73,597, 
D,Activity74,608, 
P,Activity75,615, 
P,Activity76,621, 
P,Activity77,629, 
P,Activity78,637, 
D,Activity79,644, 
P,Activity80,654, 
P,Activity81,662, 
P,Activity82,672, 
P,Activity83,681, 
P,Activity84,687, 
S,Activity85,698, 
P,Activity86,704, 
P,Activity87,710, 
P,Activity88,721, 
P,Activity89,730, 
S,Activity90,741, 
P,Activity91,752, 
P,Activity92,759, 
P,Activity93,768, 
P,Activity94,779, 
S,Activity95,788, 
S,Activity96,795, 
S,Activity97,804, 
P,Activity98,811, 
S,Activity99,822, 
D,Activity100,828, 
E,EndShift,849, 
