Equipment:2
Date:1
Shift:1
Type,Activity,TimeStart,Other
D,Activity1,0, 
P,Activity2,8, 
S,Activity3,14, 
S,Activity4,23, 
S,Activity5,33, 
P,Activity6,43, 
D,Activity7,52, 
P,Activity8,59, 
S,Activity9,67, 
P,Activity10,73, 
S,Activity11,80, 
S,Activity12,87, 
S,Activity13,97, 
P,Activity14,104, 
P,Activity15,111, 
S,Activity16,121, 
P,Activity17,132, 
D,Activity18,138, 
D,Activity19,148, 
P,Activity20,156, 
P,Activity21,166, 
P,Activity22,172, 
S,Activity23,181, 
P,Activity24,187, 
P,Activity25,195, 
P,Activity26,204, 
S,Activity27,214, 
S,Activity28,221, 
P,Activity29,229, 
P,Activity30,240, 
S,Activity31,251, 
P,Activity32,257, 
P,Activity33,264, 
D,Activity34,273, 
P,Activity35,282, 
P,Activity36,291, 
P,Activity37,301, 
S,Activity38,312, 
P,Activity39,318, 
P,Activity40,325, 
P,Activity41,333, 
P,Activity42,339, 
P,Activity43,349, 
S,Activity44,359, 
P,Activity45,370, 
P,Activity46,376, 
D,Activity47,385, 
S,Activity48,394, 
S,Activity49,402, 
P,Activity50,413, 
P,Activity51,421, 
D,Activity52,430, 
P,Activity53,438, 
P,Activity54,444, 
P,Activity55,451, 
P,Activity56,461, 
P,Activity57,467, 
P,Activity58,476, 
S,Activity59,483, 
P,Activity60,490, 
S,Activity61,501, 
P,Activity62,509, 
D,Activity63,518, 
D,Activity64,528, 
P,Activity65,538, 
P,Activity66,547, 
S,Activity67,557, 
P,Activity68,568, 
P,Activity69,578, 
P,Activity70,586, 
P,Activity71,596, 
P,Activity72,607, 
P,Activity73,614, 
P,Activity74,622, 
S,Activity75,628, 
P,Activity76,636, 
P,Activity77,644, 
P,Activity78,655, 
D,Activity79,665, 
S,Activity80,676, 
P,Activity81,684, 
S,Activity82,691, 
S,Activity83,701, 
S,Activity84,708, 
P,Activity85,718, 
P,Activity86,725, 
P,Activity87,736, 
P,Activity88,747, 
P,Activity89,758, 
S,Activity90,768, 
D,Activity91,777, 
P,Activity92,784, 
P,Activity93,793, 
S,Activity94,804, 
P,Activity95,811, 
S,Activity96,819, 
P,Activity97,827, 
S,Activity98,835, 
D,Activity99,843, 
P,Activity100,853, 
E,EndShift,875, 
