Equipment:3
Date:3
Shift:3
Type,Activity,TimeStart,Other
D,Activity1,0, 
P,Activity2,7, 
S,Activity3,17, 
D,Activity4,23, 
P,Activity5,34, 
S,Activity6,45, 
S,Activity7,52, 
P,Activity8,61, 
D,Activity9,70, 
P,Activity10,77, 
P,Activity11,86, 
D,Activity12,95, 
P,Activity13,106, 
S,Activity14,116, 
P,Activity15,123, 
P,Activity16,132, 
P,Activity17,140, 
P,Activity18,150, 
P,Activity19,157, 
P,Activity20,168, 
S,Activity21,178, 
P,Activity22,189, 
P,Activity23,199, 
P,Activity24,205, 
P,Activity25,211, 
S,Activity26,218, 
S,Activity27,227, 
S,Activity28,236, 
D,Activity29,243, 
P,Activity30,249, 
S,Activity31,255, 
D,Activity32,262, 
S,Activity33,273, 
S,Activity34,282, 
P,Activity35,289, 
P,Activity36,300, 
S,Activity37,311, 
P,Activity38,318, 
P,Activity39,328, 
S,Activity40,337, 
P,Activity41,343, 
S,Activity42,354, 
P,Activity43,364, 
S,Activity44,374, 
P,Activity45,382, 
P,Activity46,390, 
D,Activity47,399, 
P,Activity48,409, 
S,Activity49,418, 
P,Activity50,426, 
S,Activity51,434, 
S,Activity52,445, 
P,Activity53,456, 
D,Activity54,462, 
D,Activity55,470, 
S,Activity56,476, 
P,Activity57,482, 
P,Activity58,493, 
S,Activity59,499, 
S,Activity60,508, 
P,Activity61,519, 
P,Activity62,529, 
D,Activity63,538, 
P,Activity64,544, 
P,Activity65,555, 
P,Activity66,564, 
P,Activity67,573, 
S,Activity68,579, 
S,Activity69,588, 
P,Activity70,599, 
S,Activity71,606, 
P,Activity72,615, 
P,Activity73,623, 
S,Activity74,633, 
P,Activity75,644, 
S,Activity76,654, 
P,Activity77,664, 
P,Activity78,675, 
P,Activity79,685, 
P,Activity80,691, 
P,Activity81,700, 
S,Activity82,711, 
S,Activity83,721, 
S,Activity84,730, 
P,Activity85,738, 
P,Activity86,749, 
S,Activity87,759, 
P,Activity88,770, 
P,Activity89,779, 
P,Activity90,789, 
S,Activity91,798, 
D,Activity92,804, 
P,Activity93,810, 
P,Activity94,821, 
P,Activity95,830, 
P,Activity96,838, 
P,Activity97,849, 
P,Activity98,856, 
P,Activity99,866, 
S,Activity100,873, 
E,EndShift,890, 
