Equipment:1
Date:2017-2-11
Shift:1
Type,Activity,TimeStart,Other
P,Activity1,0, 
P,Activity2,7, 
P,Activity3,13, 
D,Activity4,24, 
P,Activity5,32, 
D,Activity6,40, 
P,Activity7,46, 
P,Activity8,54, 
S,Activity9,63, 
S,Activity10,71, 
S,Activity11,80, 
P,Activity12,88, 
D,Activity13,97, 
P,Activity14,105, 
S,Activity15,112, 
S,Activity16,119, 
P,Activity17,128, 
P,Activity18,134, 
P,Activity19,143, 
P,Activity20,152, 
P,Activity21,158, 
P,Activity22,166, 
S,Activity23,175, 
S,Activity24,181, 
S,Activity25,187, 
P,Activity26,195, 
S,Activity27,203, 
P,Activity28,214, 
S,Activity29,220, 
P,Activity30,227, 
P,Activity31,238, 
P,Activity32,248, 
D,Activity33,255, 
S,Activity34,265, 
P,Activity35,274, 
P,Activity36,283, 
P,Activity37,290, 
P,Activity38,300, 
P,Activity39,309, 
S,Activity40,315, 
P,Activity41,325, 
S,Activity42,335, 
P,Activity43,341, 
P,Activity44,350, 
S,Activity45,361, 
S,Activity46,368, 
D,Activity47,377, 
P,Activity48,387, 
P,Activity49,394, 
D,Activity50,402, 
D,Activity51,412, 
P,Activity52,421, 
P,Activity53,428, 
P,Activity54,434, 
S,Activity55,445, 
S,Activity56,454, 
P,Activity57,462, 
P,Activity58,469, 
D,Activity59,479, 
S,Activity60,487, 
P,Activity61,497, 
P,Activity62,507, 
P,Activity63,517, 
S,Activity64,527, 
D,Activity65,537, 
P,Activity66,545, 
S,Activity67,554, 
P,Activity68,560, 
P,Activity69,566, 
P,Activity70,572, 
S,Activity71,579, 
P,Activity72,588, 
D,Activity73,596, 
S,Activity74,605, 
P,Activity75,615, 
S,Activity76,622, 
D,Activity77,628, 
P,Activity78,636, 
P,Activity79,647, 
P,Activity80,657, 
P,Activity81,663, 
S,Activity82,674, 
S,Activity83,685, 
S,Activity84,695, 
P,Activity85,702, 
P,Activity86,709, 
P,Activity87,717, 
P,Activity88,725, 
S,Activity89,736, 
P,Activity90,745, 
P,Activity91,751, 
P,Activity92,760, 
P,Activity93,767, 
P,Activity94,778, 
S,Activity95,784, 
P,Activity96,790, 
P,Activity97,798, 
S,Activity98,808, 
P,Activity99,814, 
S,Activity100,820, 
E,EndShift,830, 
