Equipment:2
Date:2017-2-11
Shift:2
Type,Activity,TimeStart,Other
P,Activity1,0, 
S,Activity2,7, 
P,Activity3,14, 
P,Activity4,25, 
S,Activity5,33, 
P,Activity6,43, 
P,Activity7,49, 
P,Activity8,59, 
P,Activity9,69, 
S,Activity10,75, 
P,Activity11,83, 
S,Activity12,93, 
D,Activity13,103, 
P,Activity14,112, 
P,Activity15,120, 
P,Activity16,127, 
S,Activity17,134, 
P,Activity18,144, 
D,Activity19,152, 
P,Activity20,163, 
S,Activity21,169, 
P,Activity22,179, 
P,Activity23,190, 
P,Activity24,196, 
P,Activity25,207, 
P,Activity26,214, 
P,Activity27,225, 
P,Activity28,234, 
S,Activity29,241, 
S,Activity30,248, 
P,Activity31,258, 
P,Activity32,264, 
S,Activity33,271, 
P,Activity34,279, 
P,Activity35,288, 
S,Activity36,296, 
S,Activity37,304, 
P,Activity38,313, 
S,Activity39,321, 
S,Activity40,328, 
P,Activity41,335, 
P,Activity42,346, 
P,Activity43,354, 
P,Activity44,365, 
S,Activity45,375, 
P,Activity46,382, 
D,Activity47,388, 
P,Activity48,395, 
P,Activity49,401, 
P,Activity50,410, 
D,Activity51,420, 
P,Activity52,429, 
S,Activity53,439, 
S,Activity54,450, 
P,Activity55,457, 
D,Activity56,463, 
S,Activity57,471, 
P,Activity58,478, 
P,Activity59,484, 
S,Activity60,491, 
S,Activity61,501, 
D,Activity62,512, 
P,Activity63,518, 
P,Activity64,525, 
P,Activity65,533, 
S,Activity66,541, 
D,Activity67,552, 
P,Activity68,562, 
P,Activity69,573, 
S,Activity70,581, 
P,Activity71,588, 
S,Activity72,594, 
P,Activity73,605, 
P,Activity74,616, 
P,Activity75,623, 
S,Activity76,633, 
S,Activity77,639, 
P,Activity78,646, 
P,Activity79,652, 
P,Activity80,662, 
D,Activity81,670, 
D,Activity82,680, 
D,Activity83,686, 
S,Activity84,692, 
P,Activity85,702, 
P,Activity86,712, 
S,Activity87,721, 
P,Activity88,731, 
P,Activity89,738, 
S,Activity90,748, 
D,Activity91,756, 
P,Activity92,766, 
P,Activity93,776, 
P,Activity94,782, 
P,Activity95,792, 
S,Activity96,803, 
P,Activity97,809, 
P,Activity98,820, 
P,Activity99,826, 
S,Activity100,834, 
E,EndShift,856, 
