Equipment:3
Date:2017-2-11
Shift:3
Type,Activity,TimeStart,Other
D,Activity1,0, 
P,Activity2,7, 
P,Activity3,16, 
D,Activity4,27, 
S,Activity5,38, 
S,Activity6,48, 
D,Activity7,54, 
P,Activity8,64, 
S,Activity9,75, 
S,Activity10,84, 
P,Activity11,92, 
D,Activity12,103, 
S,Activity13,113, 
D,Activity14,122, 
P,Activity15,131, 
S,Activity16,138, 
P,Activity17,144, 
P,Activity18,152, 
P,Activity19,159, 
D,Activity20,166, 
P,Activity21,173, 
P,Activity22,180, 
S,Activity23,190, 
P,Activity24,201, 
P,Activity25,207, 
P,Activity26,218, 
S,Activity27,225, 
P,Activity28,231, 
P,Activity29,239, 
P,Activity30,247, 
S,Activity31,253, 
P,Activity32,264, 
S,Activity33,271, 
P,Activity34,278, 
P,Activity35,288, 
P,Activity36,297, 
P,Activity37,305, 
P,Activity38,315, 
D,Activity39,321, 
S,Activity40,331, 
D,Activity41,342, 
S,Activity42,352, 
S,Activity43,359, 
S,Activity44,366, 
S,Activity45,376, 
S,Activity46,385, 
P,Activity47,396, 
S,Activity48,404, 
P,Activity49,415, 
P,Activity50,425, 
P,Activity51,435, 
S,Activity52,441, 
P,Activity53,450, 
P,Activity54,459, 
P,Activity55,470, 
P,Activity56,476, 
P,Activity57,487, 
P,Activity58,495, 
S,Activity59,504, 
P,Activity60,510, 
P,Activity61,517, 
D,Activity62,527, 
S,Activity63,538, 
S,Activity64,546, 
P,Activity65,556, 
S,Activity66,567, 
P,Activity67,575, 
P,Activity68,582, 
S,Activity69,592, 
D,Activity70,601, 
S,Activity71,608, 
P,Activity72,616, 
S,Activity73,622, 
P,Activity74,631, 
P,Activity75,642, 
P,Activity76,653, 
S,Activity77,659, 
P,Activity78,666, 
S,Activity79,674, 
S,Activity80,680, 
P,Activity81,686, 
P,Activity82,696, 
P,Activity83,703, 
P,Activity84,709, 
S,Activity85,718, 
P,Activity86,728, 
P,Activity87,739, 
P,Activity88,747, 
S,Activity89,758, 
S,Activity90,765, 
P,Activity91,771, 
P,Activity92,781, 
S,Activity93,788, 
D,Activity94,795, 
S,Activity95,802, 
P,Activity96,810, 
P,Activity97,821, 
P,Activity98,827, 
P,Activity99,838, 
P,Activity100,848, 
E,EndShift,875, 
