Equipment:3
Date:2
Shift:2
Type,Activity,TimeStart,Other
P,Activity1,0, 
P,Activity2,11, 
D,Activity3,19, 
D,Activity4,25, 
S,Activity5,31, 
D,Activity6,39, 
D,Activity7,46, 
S,Activity8,53, 
P,Activity9,60, 
S,Activity10,66, 
P,Activity11,77, 
P,Activity12,86, 
P,Activity13,93, 
S,Activity14,100, 
P,Activity15,111, 
P,Activity16,122, 
P,Activity17,128, 
D,Activity18,136, 
S,Activity19,145, 
P,Activity20,154, 
P,Activity21,163, 
P,Activity22,174, 
P,Activity23,184, 
P,Activity24,192, 
P,Activity25,199, 
P,Activity26,210, 
P,Activity27,217, 
P,Activity28,225, 
S,Activity29,236, 
P,Activity30,244, 
P,Activity31,253, 
S,Activity32,264, 
D,Activity33,274, 
D,Activity34,284, 
S,Activity35,294, 
S,Activity36,304, 
S,Activity37,310, 
P,Activity38,317, 
P,Activity39,326, 
P,Activity40,335, 
D,Activity41,343, 
D,Activity42,354, 
S,Activity43,361, 
D,Activity44,371, 
S,Activity45,378, 
S,Activity46,387, 
S,Activity47,394, 
P,Activity48,404, 
D,Activity49,414, 
P,Activity50,424, 
P,Activity51,434, 
D,Activity52,445, 
P,Activity53,455, 
P,Activity54,464, 
S,Activity55,470, 
S,Activity56,481, 
P,Activity57,487, 
S,Activity58,494, 
S,Activity59,501, 
P,Activity60,510, 
S,Activity61,520, 
P,Activity62,529, 
S,Activity63,539, 
D,Activity64,548, 
P,Activity65,559, 
D,Activity66,569, 
S,Activity67,578, 
P,Activity68,586, 
P,Activity69,596, 
S,Activity70,604, 
P,Activity71,611, 
P,Activity72,617, 
P,Activity73,623, 
P,Activity74,633, 
P,Activity75,639, 
P,Activity76,650, 
P,Activity77,661, 
P,Activity78,670, 
P,Activity79,676, 
S,Activity80,682, 
P,Activity81,689, 
P,Activity82,699, 
D,Activity83,705, 
P,Activity84,716, 
P,Activity85,725, 
P,Activity86,733, 
S,Activity87,741, 
S,Activity88,751, 
P,Activity89,759, 
S,Activity90,770, 
P,Activity91,780, 
S,Activity92,786, 
P,Activity93,796, 
P,Activity94,807, 
S,Activity95,814, 
P,Activity96,821, 
P,Activity97,832, 
P,Activity98,843, 
P,Activity99,853, 
P,Activity100,863, 
E,EndShift,887, 
