"Equipment","1"
"Type","Shovel"
"Date","20170420"
"Shift","3"
"Type","Activity","Time Start","Operator"
"P","Activity","0","operator"
"S","Activity 2","6","operator"
"S","Activity 3","17","operator"
"P","Activity 4","23","operator"
"P","Activity 5","33","operator"
"S","Activity 6","39","operator"
"P","Activity 7","49","operator"
"P","Activity 8","55","operator"
"P","Activity 9","66","operator"
"S","Activity 10","74","operator"
"S","Activity 11","81","operator"
"P","Activity 12","87","operator"
"P","Activity 13","96","operator"
"S","Activity 14","105","operator"
"P","Activity 15","114","operator"
"P","Activity 16","123","operator"
"D","Activity 17","134","operator"
"S","Activity 18","140","operator"
"P","Activity 19","147","operator"
"P","Activity 20","158","operator"
"E","EndShift","170","operator"
