Equipment:1
Date:4
Shift:3
Type,Activity,TimeStart,Other
S,Activity1,0, 
P,Activity2,6, 
P,Activity3,12, 
D,Activity4,21, 
S,Activity5,32, 
P,Activity6,39, 
P,Activity7,47, 
P,Activity8,54, 
S,Activity9,62, 
S,Activity10,73, 
D,Activity11,83, 
S,Activity12,92, 
D,Activity13,98, 
S,Activity14,108, 
D,Activity15,117, 
D,Activity16,126, 
D,Activity17,136, 
P,Activity18,143, 
D,Activity19,149, 
S,Activity20,157, 
P,Activity21,166, 
S,Activity22,173, 
P,Activity23,180, 
S,Activity24,190, 
D,Activity25,200, 
D,Activity26,209, 
P,Activity27,216, 
P,Activity28,225, 
P,Activity29,235, 
S,Activity30,241, 
P,Activity31,252, 
P,Activity32,258, 
S,Activity33,268, 
P,Activity34,279, 
P,Activity35,289, 
P,Activity36,298, 
S,Activity37,307, 
S,Activity38,313, 
S,Activity39,323, 
S,Activity40,330, 
S,Activity41,340, 
P,Activity42,349, 
P,Activity43,358, 
P,Activity44,365, 
P,Activity45,374, 
P,Activity46,382, 
S,Activity47,391, 
P,Activity48,397, 
P,Activity49,404, 
P,Activity50,410, 
P,Activity51,416, 
P,Activity52,422, 
P,Activity53,428, 
P,Activity54,435, 
S,Activity55,442, 
S,Activity56,451, 
P,Activity57,462, 
P,Activity58,470, 
P,Activity59,480, 
P,Activity60,487, 
P,Activity61,494, 
P,Activity62,504, 
S,Activity63,511, 
S,Activity64,520, 
P,Activity65,529, 
D,Activity66,535, 
D,Activity67,542, 
P,Activity68,553, 
S,Activity69,562, 
P,Activity70,568, 
P,Activity71,578, 
P,Activity72,586, 
S,Activity73,592, 
P,Activity74,601, 
S,Activity75,607, 
S,Activity76,616, 
S,Activity77,627, 
P,Activity78,636, 
P,Activity79,646, 
S,Activity80,652, 
P,Activity81,661, 
P,Activity82,671, 
P,Activity83,679, 
P,Activity84,690, 
P,Activity85,698, 
P,Activity86,708, 
S,Activity87,719, 
P,Activity88,728, 
P,Activity89,734, 
P,Activity90,742, 
P,Activity91,749, 
P,Activity92,759, 
P,Activity93,769, 
P,Activity94,780, 
P,Activity95,786, 
P,Activity96,795, 
S,Activity97,804, 
D,Activity98,810, 
P,Activity99,817, 
P,Activity100,823, 
E,EndShift,829, 
