Equipment:1
Date:2017-2-11
Shift:2
Type,Activity,TimeStart,Other
P,Activity1,0, 
P,Activity2,10, 
P,Activity3,17, 
P,Activity4,23, 
P,Activity5,33, 
P,Activity6,43, 
S,Activity7,54, 
P,Activity8,64, 
S,Activity9,70, 
P,Activity10,81, 
P,Activity11,90, 
P,Activity12,96, 
S,Activity13,107, 
P,Activity14,114, 
D,Activity15,120, 
P,Activity16,130, 
S,Activity17,141, 
S,Activity18,151, 
S,Activity19,157, 
S,Activity20,168, 
P,Activity21,176, 
S,Activity22,184, 
P,Activity23,192, 
P,Activity24,201, 
S,Activity25,212, 
P,Activity26,221, 
P,Activity27,229, 
D,Activity28,239, 
S,Activity29,250, 
P,Activity30,260, 
P,Activity31,267, 
P,Activity32,277, 
P,Activity33,285, 
P,Activity34,294, 
P,Activity35,301, 
S,Activity36,308, 
P,Activity37,315, 
S,Activity38,324, 
P,Activity39,330, 
P,Activity40,337, 
P,Activity41,343, 
P,Activity42,351, 
P,Activity43,359, 
P,Activity44,370, 
S,Activity45,378, 
P,Activity46,388, 
S,Activity47,399, 
P,Activity48,407, 
S,Activity49,415, 
S,Activity50,422, 
S,Activity51,432, 
P,Activity52,442, 
S,Activity53,449, 
S,Activity54,456, 
P,Activity55,462, 
P,Activity56,471, 
S,Activity57,480, 
D,Activity58,486, 
D,Activity59,494, 
P,Activity60,503, 
P,Activity61,514, 
S,Activity62,521, 
P,Activity63,532, 
P,Activity64,539, 
P,Activity65,548, 
D,Activity66,557, 
P,Activity67,568, 
P,Activity68,577, 
P,Activity69,587, 
P,Activity70,597, 
P,Activity71,605, 
S,Activity72,616, 
P,Activity73,626, 
P,Activity74,632, 
P,Activity75,641, 
P,Activity76,652, 
S,Activity77,663, 
P,Activity78,672, 
P,Activity79,682, 
S,Activity80,693, 
P,Activity81,701, 
P,Activity82,708, 
S,Activity83,718, 
P,Activity84,724, 
P,Activity85,733, 
P,Activity86,744, 
P,Activity87,750, 
S,Activity88,761, 
P,Activity89,768, 
P,Activity90,776, 
P,Activity91,782, 
P,Activity92,793, 
P,Activity93,802, 
P,Activity94,810, 
D,Activity95,821, 
P,Activity96,828, 
P,Activity97,834, 
P,Activity98,842, 
P,Activity99,852, 
P,Activity100,858, 
E,EndShift,880, 
