Equipment:1
Date:2
Shift:1
Type,Activity,TimeStart,Other
D,Activity1,0, 
P,Activity2,11, 
P,Activity3,17, 
P,Activity4,27, 
P,Activity5,34, 
P,Activity6,43, 
P,Activity7,52, 
D,Activity8,60, 
P,Activity9,67, 
P,Activity10,76, 
P,Activity11,83, 
P,Activity12,91, 
P,Activity13,101, 
P,Activity14,110, 
S,Activity15,116, 
S,Activity16,125, 
P,Activity17,136, 
P,Activity18,144, 
S,Activity19,153, 
P,Activity20,161, 
S,Activity21,170, 
P,Activity22,178, 
S,Activity23,185, 
P,Activity24,191, 
S,Activity25,199, 
P,Activity26,208, 
P,Activity27,217, 
S,Activity28,225, 
D,Activity29,234, 
S,Activity30,241, 
S,Activity31,248, 
D,Activity32,255, 
P,Activity33,262, 
P,Activity34,268, 
P,Activity35,276, 
P,Activity36,284, 
D,Activity37,292, 
P,Activity38,299, 
P,Activity39,309, 
P,Activity40,317, 
D,Activity41,327, 
P,Activity42,336, 
P,Activity43,342, 
S,Activity44,352, 
D,Activity45,359, 
S,Activity46,365, 
P,Activity47,371, 
P,Activity48,377, 
P,Activity49,385, 
P,Activity50,395, 
P,Activity51,406, 
P,Activity52,412, 
S,Activity53,421, 
P,Activity54,432, 
D,Activity55,442, 
P,Activity56,451, 
S,Activity57,459, 
S,Activity58,465, 
D,Activity59,471, 
P,Activity60,478, 
P,Activity61,489, 
P,Activity62,500, 
P,Activity63,509, 
P,Activity64,518, 
S,Activity65,527, 
P,Activity66,533, 
S,Activity67,540, 
P,Activity68,548, 
P,Activity69,554, 
P,Activity70,564, 
P,Activity71,571, 
S,Activity72,579, 
S,Activity73,586, 
P,Activity74,592, 
P,Activity75,599, 
P,Activity76,605, 
P,Activity77,611, 
D,Activity78,619, 
S,Activity79,629, 
P,Activity80,637, 
S,Activity81,646, 
P,Activity82,652, 
P,Activity83,661, 
S,Activity84,672, 
D,Activity85,683, 
S,Activity86,693, 
D,Activity87,703, 
P,Activity88,713, 
P,Activity89,719, 
P,Activity90,729, 
P,Activity91,738, 
P,Activity92,745, 
S,Activity93,756, 
S,Activity94,764, 
S,Activity95,773, 
S,Activity96,784, 
P,Activity97,790, 
P,Activity98,799, 
S,Activity99,807, 
P,Activity100,815, 
E,EndShift,825, 
