Equipment:1
Date:2
Shift:2
Type,Activity,TimeStart,Other
S,Activity1,0, 
P,Activity2,9, 
S,Activity3,15, 
S,Activity4,25, 
S,Activity5,35, 
S,Activity6,41, 
P,Activity7,49, 
S,Activity8,56, 
S,Activity9,64, 
P,Activity10,73, 
P,Activity11,80, 
P,Activity12,89, 
D,Activity13,99, 
P,Activity14,105, 
P,Activity15,113, 
P,Activity16,124, 
P,Activity17,130, 
P,Activity18,137, 
P,Activity19,145, 
D,Activity20,155, 
S,Activity21,166, 
S,Activity22,174, 
P,Activity23,184, 
S,Activity24,191, 
P,Activity25,199, 
P,Activity26,205, 
P,Activity27,211, 
P,Activity28,217, 
S,Activity29,224, 
P,Activity30,233, 
P,Activity31,242, 
P,Activity32,250, 
P,Activity33,259, 
P,Activity34,267, 
P,Activity35,273, 
P,Activity36,279, 
P,Activity37,288, 
D,Activity38,295, 
P,Activity39,305, 
P,Activity40,314, 
P,Activity41,325, 
P,Activity42,332, 
P,Activity43,338, 
S,Activity44,348, 
P,Activity45,358, 
P,Activity46,365, 
S,Activity47,374, 
P,Activity48,380, 
S,Activity49,391, 
P,Activity50,400, 
P,Activity51,409, 
S,Activity52,415, 
P,Activity53,422, 
P,Activity54,428, 
D,Activity55,438, 
P,Activity56,444, 
P,Activity57,452, 
D,Activity58,463, 
D,Activity59,471, 
S,Activity60,478, 
S,Activity61,487, 
S,Activity62,495, 
P,Activity63,504, 
D,Activity64,514, 
D,Activity65,523, 
P,Activity66,530, 
P,Activity67,539, 
S,Activity68,548, 
P,Activity69,558, 
P,Activity70,565, 
P,Activity71,571, 
D,Activity72,579, 
P,Activity73,585, 
S,Activity74,593, 
P,Activity75,602, 
P,Activity76,611, 
P,Activity77,620, 
D,Activity78,628, 
P,Activity79,637, 
S,Activity80,644, 
S,Activity81,651, 
P,Activity82,657, 
S,Activity83,664, 
P,Activity84,675, 
S,Activity85,686, 
D,Activity86,694, 
S,Activity87,705, 
P,Activity88,712, 
P,Activity89,721, 
P,Activity90,728, 
S,Activity91,734, 
P,Activity92,744, 
P,Activity93,755, 
P,Activity94,763, 
P,Activity95,774, 
S,Activity96,783, 
P,Activity97,793, 
P,Activity98,800, 
S,Activity99,807, 
P,Activity100,817, 
E,EndShift,830, 
