Equipment:2
Date:3
Shift:1
Type,Activity,TimeStart,Other
P,Activity1,0, 
P,Activity2,8, 
S,Activity3,18, 
P,Activity4,27, 
S,Activity5,35, 
P,Activity6,41, 
S,Activity7,52, 
P,Activity8,61, 
S,Activity9,67, 
P,Activity10,77, 
P,Activity11,87, 
P,Activity12,93, 
P,Activity13,101, 
S,Activity14,110, 
D,Activity15,121, 
P,Activity16,127, 
S,Activity17,133, 
D,Activity18,141, 
P,Activity19,148, 
P,Activity20,154, 
P,Activity21,161, 
P,Activity22,168, 
S,Activity23,175, 
P,Activity24,186, 
P,Activity25,196, 
P,Activity26,204, 
P,Activity27,212, 
S,Activity28,223, 
P,Activity29,231, 
P,Activity30,237, 
P,Activity31,248, 
D,Activity32,259, 
P,Activity33,268, 
S,Activity34,279, 
P,Activity35,290, 
P,Activity36,297, 
P,Activity37,305, 
D,Activity38,316, 
P,Activity39,324, 
P,Activity40,330, 
S,Activity41,336, 
P,Activity42,344, 
D,Activity43,352, 
D,Activity44,363, 
P,Activity45,369, 
S,Activity46,377, 
D,Activity47,386, 
P,Activity48,393, 
D,Activity49,404, 
P,Activity50,411, 
S,Activity51,421, 
P,Activity52,430, 
S,Activity53,436, 
P,Activity54,443, 
P,Activity55,451, 
P,Activity56,459, 
P,Activity57,468, 
P,Activity58,478, 
S,Activity59,484, 
P,Activity60,493, 
P,Activity61,501, 
P,Activity62,508, 
P,Activity63,518, 
S,Activity64,527, 
P,Activity65,538, 
S,Activity66,546, 
P,Activity67,552, 
S,Activity68,559, 
P,Activity69,570, 
S,Activity70,581, 
S,Activity71,590, 
P,Activity72,598, 
P,Activity73,604, 
P,Activity74,610, 
P,Activity75,619, 
P,Activity76,626, 
P,Activity77,634, 
P,Activity78,644, 
S,Activity79,650, 
P,Activity80,660, 
P,Activity81,670, 
S,Activity82,680, 
P,Activity83,686, 
S,Activity84,697, 
P,Activity85,708, 
P,Activity86,717, 
P,Activity87,725, 
P,Activity88,733, 
P,Activity89,740, 
P,Activity90,746, 
P,Activity91,752, 
P,Activity92,762, 
P,Activity93,770, 
P,Activity94,781, 
S,Activity95,790, 
S,Activity96,797, 
P,Activity97,807, 
P,Activity98,818, 
S,Activity99,826, 
P,Activity100,837, 
E,EndShift,847, 
