Equipment:2
Date:2017-2-10
Shift:2
Type,Activity,TimeStart,Other
D,Activity1,0, 
P,Activity2,9, 
S,Activity3,20, 
P,Activity4,29, 
P,Activity5,39, 
S,Activity6,46, 
S,Activity7,55, 
S,Activity8,65, 
P,Activity9,75, 
P,Activity10,82, 
D,Activity11,88, 
P,Activity12,95, 
S,Activity13,104, 
P,Activity14,113, 
P,Activity15,121, 
S,Activity16,127, 
S,Activity17,133, 
D,Activity18,140, 
P,Activity19,151, 
D,Activity20,160, 
P,Activity21,171, 
D,Activity22,182, 
D,Activity23,193, 
S,Activity24,202, 
D,Activity25,209, 
S,Activity26,220, 
S,Activity27,228, 
S,Activity28,235, 
S,Activity29,242, 
D,Activity30,252, 
P,Activity31,258, 
D,Activity32,269, 
P,Activity33,279, 
S,Activity34,290, 
P,Activity35,301, 
P,Activity36,310, 
S,Activity37,318, 
P,Activity38,329, 
P,Activity39,340, 
D,Activity40,346, 
S,Activity41,355, 
P,Activity42,361, 
S,Activity43,369, 
P,Activity44,380, 
P,Activity45,387, 
P,Activity46,393, 
S,Activity47,402, 
S,Activity48,411, 
P,Activity49,418, 
P,Activity50,427, 
P,Activity51,438, 
P,Activity52,444, 
P,Activity53,454, 
P,Activity54,465, 
P,Activity55,473, 
S,Activity56,481, 
P,Activity57,489, 
P,Activity58,498, 
S,Activity59,507, 
S,Activity60,516, 
S,Activity61,526, 
S,Activity62,535, 
P,Activity63,543, 
S,Activity64,549, 
P,Activity65,559, 
P,Activity66,567, 
P,Activity67,578, 
P,Activity68,584, 
P,Activity69,590, 
D,Activity70,598, 
S,Activity71,604, 
S,Activity72,611, 
P,Activity73,618, 
P,Activity74,624, 
P,Activity75,633, 
P,Activity76,642, 
P,Activity77,651, 
S,Activity78,661, 
P,Activity79,668, 
P,Activity80,675, 
P,Activity81,681, 
P,Activity82,690, 
P,Activity83,698, 
S,Activity84,704, 
P,Activity85,715, 
P,Activity86,726, 
P,Activity87,733, 
P,Activity88,740, 
S,Activity89,747, 
P,Activity90,753, 
P,Activity91,760, 
P,Activity92,770, 
P,Activity93,776, 
P,Activity94,785, 
P,Activity95,796, 
S,Activity96,807, 
D,Activity97,815, 
D,Activity98,826, 
D,Activity99,835, 
D,Activity100,846, 
E,EndShift,866, 
