Equipment:1
Date:1
Shift:3
Type,Activity,TimeStart,Other
P,Activity1,0, 
P,Activity2,9, 
P,Activity3,16, 
S,Activity4,27, 
P,Activity5,37, 
S,Activity6,48, 
P,Activity7,59, 
P,Activity8,69, 
S,Activity9,78, 
P,Activity10,85, 
S,Activity11,91, 
P,Activity12,97, 
D,Activity13,103, 
P,Activity14,114, 
D,Activity15,120, 
P,Activity16,131, 
P,Activity17,137, 
P,Activity18,145, 
P,Activity19,155, 
S,Activity20,163, 
P,Activity21,171, 
D,Activity22,177, 
P,Activity23,186, 
P,Activity24,195, 
P,Activity25,203, 
S,Activity26,212, 
D,Activity27,220, 
S,Activity28,228, 
D,Activity29,238, 
P,Activity30,246, 
D,Activity31,256, 
D,Activity32,264, 
P,Activity33,274, 
P,Activity34,282, 
P,Activity35,292, 
S,Activity36,303, 
S,Activity37,311, 
P,Activity38,319, 
S,Activity39,329, 
S,Activity40,338, 
S,Activity41,348, 
P,Activity42,358, 
P,Activity43,365, 
P,Activity44,376, 
P,Activity45,386, 
P,Activity46,396, 
P,Activity47,402, 
P,Activity48,408, 
P,Activity49,416, 
P,Activity50,425, 
P,Activity51,436, 
P,Activity52,447, 
P,Activity53,458, 
S,Activity54,465, 
P,Activity55,474, 
P,Activity56,482, 
S,Activity57,490, 
P,Activity58,497, 
P,Activity59,503, 
P,Activity60,514, 
S,Activity61,523, 
S,Activity62,534, 
S,Activity63,545, 
P,Activity64,551, 
S,Activity65,557, 
S,Activity66,565, 
P,Activity67,571, 
P,Activity68,581, 
P,Activity69,588, 
P,Activity70,598, 
D,Activity71,609, 
S,Activity72,618, 
D,Activity73,625, 
P,Activity74,636, 
D,Activity75,643, 
P,Activity76,651, 
P,Activity77,658, 
P,Activity78,665, 
P,Activity79,675, 
P,Activity80,681, 
P,Activity81,690, 
D,Activity82,699, 
P,Activity83,709, 
S,Activity84,720, 
P,Activity85,728, 
S,Activity86,738, 
P,Activity87,747, 
P,Activity88,757, 
S,Activity89,766, 
S,Activity90,775, 
P,Activity91,785, 
S,Activity92,792, 
P,Activity93,801, 
P,Activity94,807, 
S,Activity95,816, 
P,Activity96,823, 
P,Activity97,830, 
S,Activity98,838, 
P,Activity99,848, 
P,Activity100,859, 
E,EndShift,871, 
