Equipment:2
Date:3
Shift:3
Type,Activity,TimeStart,Other
S,Activity1,0, 
S,Activity2,7, 
S,Activity3,15, 
S,Activity4,23, 
S,Activity5,32, 
P,Activity6,38, 
D,Activity7,48, 
D,Activity8,54, 
P,Activity9,60, 
P,Activity10,71, 
P,Activity11,78, 
P,Activity12,85, 
S,Activity13,94, 
S,Activity14,101, 
P,Activity15,107, 
P,Activity16,116, 
S,Activity17,124, 
P,Activity18,135, 
P,Activity19,146, 
S,Activity20,152, 
S,Activity21,161, 
P,Activity22,171, 
S,Activity23,179, 
D,Activity24,187, 
P,Activity25,196, 
S,Activity26,203, 
P,Activity27,212, 
S,Activity28,222, 
P,Activity29,228, 
P,Activity30,238, 
P,Activity31,246, 
S,Activity32,252, 
D,Activity33,261, 
P,Activity34,268, 
P,Activity35,277, 
S,Activity36,287, 
P,Activity37,298, 
P,Activity38,307, 
P,Activity39,318, 
S,Activity40,326, 
P,Activity41,335, 
D,Activity42,343, 
S,Activity43,353, 
P,Activity44,364, 
P,Activity45,375, 
P,Activity46,381, 
D,Activity47,392, 
P,Activity48,402, 
P,Activity49,412, 
D,Activity50,423, 
P,Activity51,433, 
P,Activity52,442, 
P,Activity53,449, 
P,Activity54,455, 
D,Activity55,464, 
S,Activity56,470, 
P,Activity57,480, 
D,Activity58,489, 
P,Activity59,499, 
P,Activity60,505, 
P,Activity61,511, 
S,Activity62,520, 
P,Activity63,529, 
P,Activity64,539, 
S,Activity65,549, 
S,Activity66,560, 
P,Activity67,566, 
D,Activity68,577, 
D,Activity69,587, 
P,Activity70,593, 
S,Activity71,601, 
P,Activity72,608, 
P,Activity73,616, 
P,Activity74,623, 
P,Activity75,633, 
P,Activity76,641, 
P,Activity77,652, 
P,Activity78,663, 
P,Activity79,673, 
P,Activity80,682, 
P,Activity81,692, 
D,Activity82,700, 
P,Activity83,710, 
S,Activity84,717, 
S,Activity85,725, 
P,Activity86,733, 
S,Activity87,741, 
S,Activity88,748, 
P,Activity89,759, 
P,Activity90,769, 
P,Activity91,780, 
P,Activity92,787, 
P,Activity93,795, 
P,Activity94,801, 
P,Activity95,810, 
P,Activity96,816, 
S,Activity97,826, 
S,Activity98,832, 
P,Activity99,842, 
S,Activity100,848, 
E,EndShift,867, 
