"Equipment","1"
"Type","Shovel"
"Date","20170415"
"Shift","1"
"Type","Activity","Time Start","Operator"
"S","Activity","0",operator
"S","Activity 2","9","operator"
"D","Activity 3","16","operator"
"P","Activity 4","25","operator"
"D","Activity 5","33","operator"
"P","Activity 6","44","operator"
"S","Activity 7","50","operator"
"P","Activity 8","58","operator"
"S","Activity 9","65","operator"
"P","Activity 10","72","operator"
"P","Activity 11","78","operator"
"P","Activity 12","88","operator"
"D","Activity 13","96","operator"
"P","Activity 14","107","operator"
"P","Activity 15","116","operator"
"S","Activity 16","127","operator"
"S","Activity 17","134","operator"
"P","Activity 18","140","operator"
"S","Activity 19","149","operator"
"P","Activity 20","159","operator"
"E","EndShift","168","operator"
