Equipment:2
Date:2
Shift:3
Type,Activity,TimeStart,Other
P,Activity1,0, 
S,Activity2,9, 
P,Activity3,17, 
P,Activity4,28, 
P,Activity5,37, 
P,Activity6,46, 
P,Activity7,52, 
P,Activity8,63, 
P,Activity9,69, 
P,Activity10,77, 
S,Activity11,86, 
S,Activity12,95, 
P,Activity13,105, 
S,Activity14,116, 
P,Activity15,122, 
P,Activity16,128, 
S,Activity17,135, 
S,Activity18,141, 
D,Activity19,150, 
S,Activity20,156, 
D,Activity21,164, 
P,Activity22,171, 
P,Activity23,180, 
P,Activity24,189, 
S,Activity25,200, 
D,Activity26,208, 
P,Activity27,216, 
P,Activity28,226, 
P,Activity29,234, 
P,Activity30,242, 
P,Activity31,253, 
P,Activity32,263, 
P,Activity33,269, 
P,Activity34,276, 
P,Activity35,285, 
P,Activity36,296, 
P,Activity37,307, 
S,Activity38,318, 
P,Activity39,326, 
D,Activity40,335, 
P,Activity41,346, 
P,Activity42,357, 
S,Activity43,364, 
P,Activity44,374, 
P,Activity45,383, 
P,Activity46,390, 
P,Activity47,400, 
S,Activity48,410, 
P,Activity49,420, 
S,Activity50,430, 
S,Activity51,439, 
P,Activity52,448, 
S,Activity53,456, 
P,Activity54,463, 
S,Activity55,473, 
P,Activity56,480, 
P,Activity57,490, 
P,Activity58,498, 
D,Activity59,506, 
S,Activity60,512, 
P,Activity61,523, 
D,Activity62,530, 
P,Activity63,540, 
P,Activity64,548, 
P,Activity65,557, 
S,Activity66,565, 
S,Activity67,575, 
P,Activity68,585, 
S,Activity69,591, 
S,Activity70,598, 
S,Activity71,604, 
S,Activity72,614, 
P,Activity73,625, 
S,Activity74,631, 
P,Activity75,639, 
S,Activity76,650, 
P,Activity77,656, 
S,Activity78,664, 
D,Activity79,673, 
P,Activity80,682, 
S,Activity81,692, 
P,Activity82,702, 
P,Activity83,709, 
P,Activity84,715, 
D,Activity85,722, 
S,Activity86,732, 
P,Activity87,738, 
P,Activity88,744, 
D,Activity89,752, 
S,Activity90,760, 
P,Activity91,768, 
P,Activity92,778, 
P,Activity93,787, 
P,Activity94,797, 
S,Activity95,805, 
P,Activity96,813, 
P,Activity97,823, 
S,Activity98,833, 
S,Activity99,841, 
P,Activity100,849, 
E,EndShift,857, 
