Equipment:1
Date:2017-2-9
Shift:3
Type,Activity,TimeStart,Other
S,Activity1,0, 
D,Activity2,7, 
P,Activity3,13, 
D,Activity4,23, 
P,Activity5,29, 
P,Activity6,35, 
D,Activity7,41, 
P,Activity8,51, 
P,Activity9,57, 
P,Activity10,68, 
S,Activity11,74, 
D,Activity12,80, 
P,Activity13,90, 
P,Activity14,96, 
S,Activity15,104, 
P,Activity16,114, 
P,Activity17,122, 
P,Activity18,133, 
P,Activity19,143, 
S,Activity20,153, 
P,Activity21,164, 
D,Activity22,170, 
S,Activity23,177, 
P,Activity24,187, 
P,Activity25,198, 
P,Activity26,207, 
P,Activity27,215, 
S,Activity28,225, 
P,Activity29,234, 
D,Activity30,241, 
P,Activity31,250, 
S,Activity32,256, 
P,Activity33,266, 
S,Activity34,276, 
P,Activity35,285, 
S,Activity36,293, 
P,Activity37,300, 
P,Activity38,306, 
P,Activity39,317, 
P,Activity40,324, 
P,Activity41,331, 
P,Activity42,338, 
P,Activity43,347, 
P,Activity44,357, 
S,Activity45,363, 
P,Activity46,371, 
S,Activity47,381, 
P,Activity48,388, 
P,Activity49,395, 
P,Activity50,404, 
P,Activity51,412, 
S,Activity52,418, 
P,Activity53,429, 
D,Activity54,436, 
P,Activity55,446, 
S,Activity56,457, 
P,Activity57,466, 
S,Activity58,475, 
S,Activity59,482, 
P,Activity60,489, 
S,Activity61,499, 
S,Activity62,508, 
S,Activity63,514, 
S,Activity64,525, 
P,Activity65,534, 
S,Activity66,542, 
P,Activity67,551, 
S,Activity68,560, 
P,Activity69,567, 
P,Activity70,576, 
S,Activity71,583, 
S,Activity72,592, 
P,Activity73,599, 
S,Activity74,605, 
P,Activity75,611, 
P,Activity76,617, 
S,Activity77,627, 
S,Activity78,634, 
P,Activity79,644, 
P,Activity80,652, 
P,Activity81,660, 
P,Activity82,671, 
P,Activity83,682, 
S,Activity84,693, 
P,Activity85,704, 
P,Activity86,711, 
P,Activity87,722, 
P,Activity88,728, 
P,Activity89,736, 
D,Activity90,742, 
S,Activity91,749, 
P,Activity92,756, 
S,Activity93,766, 
S,Activity94,774, 
P,Activity95,783, 
P,Activity96,794, 
P,Activity97,802, 
S,Activity98,808, 
P,Activity99,815, 
P,Activity100,826, 
E,EndShift,848, 
