Equipment:1
Date:2017-2-10
Shift:1
Type,Activity,TimeStart,Other
P,Activity1,0, 
P,Activity2,8, 
D,Activity3,14, 
D,Activity4,22, 
P,Activity5,33, 
S,Activity6,42, 
D,Activity7,53, 
P,Activity8,59, 
P,Activity9,68, 
P,Activity10,75, 
P,Activity11,82, 
S,Activity12,89, 
P,Activity13,95, 
S,Activity14,106, 
S,Activity15,117, 
P,Activity16,128, 
P,Activity17,134, 
P,Activity18,144, 
S,Activity19,151, 
P,Activity20,157, 
P,Activity21,163, 
P,Activity22,169, 
P,Activity23,180, 
D,Activity24,190, 
S,Activity25,198, 
S,Activity26,205, 
D,Activity27,214, 
S,Activity28,225, 
P,Activity29,232, 
P,Activity30,240, 
P,Activity31,251, 
P,Activity32,261, 
S,Activity33,272, 
D,Activity34,282, 
S,Activity35,293, 
S,Activity36,302, 
P,Activity37,308, 
P,Activity38,319, 
P,Activity39,327, 
P,Activity40,333, 
S,Activity41,344, 
P,Activity42,351, 
S,Activity43,361, 
D,Activity44,371, 
S,Activity45,382, 
D,Activity46,390, 
D,Activity47,401, 
S,Activity48,407, 
S,Activity49,417, 
P,Activity50,423, 
P,Activity51,431, 
D,Activity52,439, 
P,Activity53,446, 
S,Activity54,452, 
D,Activity55,462, 
P,Activity56,469, 
P,Activity57,476, 
P,Activity58,486, 
D,Activity59,492, 
S,Activity60,503, 
S,Activity61,510, 
S,Activity62,519, 
S,Activity63,530, 
P,Activity64,539, 
S,Activity65,546, 
P,Activity66,557, 
P,Activity67,563, 
S,Activity68,572, 
D,Activity69,581, 
P,Activity70,587, 
S,Activity71,596, 
P,Activity72,603, 
D,Activity73,609, 
P,Activity74,617, 
S,Activity75,626, 
S,Activity76,635, 
S,Activity77,641, 
S,Activity78,648, 
P,Activity79,656, 
P,Activity80,663, 
P,Activity81,671, 
P,Activity82,677, 
P,Activity83,686, 
S,Activity84,692, 
P,Activity85,700, 
P,Activity86,708, 
P,Activity87,717, 
D,Activity88,727, 
P,Activity89,735, 
P,Activity90,745, 
P,Activity91,755, 
S,Activity92,766, 
D,Activity93,776, 
P,Activity94,785, 
S,Activity95,796, 
S,Activity96,805, 
P,Activity97,812, 
S,Activity98,818, 
P,Activity99,827, 
P,Activity100,838, 
E,EndShift,854, 
