Equipment:1
Date:2017-2-15
Shift:3
Type,Activity,TimeStart,Other
P,Activity1,0, 
P,Activity2,10, 
P,Activity3,20, 
S,Activity4,29, 
P,Activity5,38, 
P,Activity6,47, 
P,Activity7,56, 
P,Activity8,65, 
P,Activity9,75, 
P,Activity10,85, 
S,Activity11,92, 
S,Activity12,103, 
D,Activity13,109, 
P,Activity14,118, 
P,Activity15,127, 
P,Activity16,134, 
P,Activity17,144, 
P,Activity18,155, 
P,Activity19,162, 
P,Activity20,173, 
P,Activity21,179, 
S,Activity22,186, 
S,Activity23,196, 
P,Activity24,205, 
P,Activity25,216, 
S,Activity26,224, 
S,Activity27,231, 
P,Activity28,240, 
D,Activity29,250, 
P,Activity30,257, 
P,Activity31,265, 
P,Activity32,275, 
P,Activity33,285, 
P,Activity34,295, 
P,Activity35,304, 
P,Activity36,314, 
P,Activity37,321, 
S,Activity38,329, 
S,Activity39,335, 
S,Activity40,344, 
P,Activity41,351, 
S,Activity42,357, 
S,Activity43,365, 
S,Activity44,372, 
S,Activity45,380, 
S,Activity46,388, 
S,Activity47,399, 
P,Activity48,410, 
P,Activity49,419, 
S,Activity50,427, 
P,Activity51,435, 
S,Activity52,446, 
S,Activity53,457, 
S,Activity54,463, 
P,Activity55,469, 
P,Activity56,475, 
S,Activity57,482, 
P,Activity58,489, 
S,Activity59,495, 
S,Activity60,505, 
P,Activity61,515, 
S,Activity62,522, 
D,Activity63,529, 
P,Activity64,539, 
P,Activity65,545, 
P,Activity66,556, 
P,Activity67,565, 
D,Activity68,572, 
P,Activity69,581, 
S,Activity70,592, 
P,Activity71,603, 
S,Activity72,609, 
S,Activity73,617, 
S,Activity74,624, 
S,Activity75,635, 
S,Activity76,645, 
P,Activity77,654, 
S,Activity78,665, 
S,Activity79,672, 
D,Activity80,679, 
P,Activity81,690, 
P,Activity82,699, 
S,Activity83,707, 
P,Activity84,716, 
P,Activity85,723, 
P,Activity86,730, 
S,Activity87,741, 
P,Activity88,749, 
P,Activity89,755, 
D,Activity90,765, 
D,Activity91,773, 
S,Activity92,783, 
P,Activity93,792, 
P,Activity94,802, 
P,Activity95,811, 
D,Activity96,819, 
S,Activity97,827, 
S,Activity98,835, 
P,Activity99,845, 
P,Activity100,853, 
E,EndShift,880, 
