"Equipment","2"
"Type","Shovel"
"Date,""20170321"
"Shift,""3"
"Type","Activity","Time Start","Other"
"S","Activity","0", 
"S","Activity 2","6", 
"S","Activity 3","13", 
"S","Activity 4","20", 
"P","Activity 5","28", 
"D","Activity 6","39", 
"S","Activity 7","48", 
"S","Activity 8","58", 
"P","Activity 9","68", 
"P","Activity 10","74", 
"P","Activity 11","85", 
"P","Activity 12","92", 
"P","Activity 13","103", 
"D","Activity 14","110", 
"S","Activity 15","120", 
"P","Activity 16","129", 
"P","Activity 17","138", 
"S","Activity 18","144", 
"P","Activity 19","151", 
"D","Activity 20","160", 
"E","EndShift","175", 
