Equipment:3
Date:3
Shift:1
Type,Activity,TimeStart,Other
S,Activity1,0, 
P,Activity2,11, 
S,Activity3,21, 
S,Activity4,28, 
P,Activity5,37, 
P,Activity6,48, 
P,Activity7,57, 
P,Activity8,67, 
D,Activity9,73, 
S,Activity10,82, 
P,Activity11,89, 
P,Activity12,96, 
P,Activity13,104, 
S,Activity14,113, 
S,Activity15,120, 
P,Activity16,131, 
S,Activity17,141, 
D,Activity18,147, 
S,Activity19,156, 
S,Activity20,166, 
P,Activity21,177, 
P,Activity22,183, 
D,Activity23,194, 
P,Activity24,205, 
P,Activity25,213, 
P,Activity26,221, 
P,Activity27,231, 
S,Activity28,239, 
S,Activity29,246, 
D,Activity30,252, 
P,Activity31,263, 
P,Activity32,270, 
P,Activity33,276, 
P,Activity34,286, 
S,Activity35,293, 
P,Activity36,302, 
P,Activity37,309, 
P,Activity38,316, 
D,Activity39,325, 
P,Activity40,336, 
S,Activity41,343, 
P,Activity42,354, 
P,Activity43,365, 
P,Activity44,376, 
S,Activity45,386, 
P,Activity46,394, 
D,Activity47,403, 
S,Activity48,410, 
P,Activity49,419, 
P,Activity50,427, 
S,Activity51,433, 
D,Activity52,443, 
S,Activity53,451, 
S,Activity54,460, 
P,Activity55,467, 
P,Activity56,477, 
D,Activity57,483, 
P,Activity58,490, 
P,Activity59,501, 
S,Activity60,512, 
D,Activity61,522, 
S,Activity62,533, 
P,Activity63,539, 
P,Activity64,549, 
S,Activity65,560, 
S,Activity66,569, 
P,Activity67,576, 
P,Activity68,583, 
D,Activity69,590, 
P,Activity70,596, 
D,Activity71,605, 
S,Activity72,616, 
P,Activity73,624, 
P,Activity74,631, 
P,Activity75,640, 
P,Activity76,648, 
P,Activity77,655, 
P,Activity78,663, 
P,Activity79,671, 
P,Activity80,680, 
P,Activity81,690, 
P,Activity82,696, 
P,Activity83,706, 
P,Activity84,716, 
P,Activity85,724, 
P,Activity86,734, 
P,Activity87,743, 
S,Activity88,751, 
P,Activity89,759, 
S,Activity90,767, 
P,Activity91,777, 
P,Activity92,788, 
S,Activity93,795, 
P,Activity94,802, 
D,Activity95,813, 
P,Activity96,821, 
P,Activity97,830, 
S,Activity98,840, 
P,Activity99,847, 
S,Activity100,854, 
E,EndShift,871, 
