Equipment:3
Date:1
Shift:1
Type,Activity,TimeStart,Other
P,Activity1,0, 
P,Activity2,7, 
P,Activity3,18, 
P,Activity4,29, 
P,Activity5,38, 
P,Activity6,44, 
S,Activity7,51, 
S,Activity8,59, 
D,Activity9,66, 
P,Activity10,77, 
S,Activity11,84, 
P,Activity12,92, 
S,Activity13,102, 
D,Activity14,108, 
P,Activity15,119, 
P,Activity16,125, 
P,Activity17,132, 
P,Activity18,139, 
P,Activity19,147, 
S,Activity20,158, 
S,Activity21,165, 
P,Activity22,173, 
P,Activity23,180, 
P,Activity24,187, 
P,Activity25,196, 
P,Activity26,206, 
P,Activity27,214, 
P,Activity28,224, 
P,Activity29,235, 
S,Activity30,242, 
P,Activity31,249, 
P,Activity32,255, 
D,Activity33,262, 
P,Activity34,271, 
P,Activity35,278, 
P,Activity36,284, 
D,Activity37,293, 
D,Activity38,303, 
P,Activity39,311, 
S,Activity40,319, 
P,Activity41,328, 
P,Activity42,334, 
P,Activity43,344, 
S,Activity44,352, 
P,Activity45,362, 
P,Activity46,373, 
P,Activity47,384, 
P,Activity48,393, 
S,Activity49,400, 
S,Activity50,406, 
P,Activity51,412, 
P,Activity52,423, 
P,Activity53,430, 
P,Activity54,436, 
P,Activity55,446, 
P,Activity56,454, 
P,Activity57,465, 
P,Activity58,474, 
S,Activity59,483, 
S,Activity60,490, 
P,Activity61,498, 
P,Activity62,509, 
S,Activity63,517, 
S,Activity64,528, 
P,Activity65,536, 
P,Activity66,542, 
P,Activity67,548, 
D,Activity68,558, 
P,Activity69,565, 
S,Activity70,573, 
S,Activity71,579, 
S,Activity72,587, 
S,Activity73,596, 
S,Activity74,606, 
P,Activity75,616, 
P,Activity76,627, 
S,Activity77,633, 
S,Activity78,641, 
P,Activity79,648, 
P,Activity80,656, 
S,Activity81,664, 
P,Activity82,670, 
P,Activity83,680, 
P,Activity84,687, 
D,Activity85,696, 
P,Activity86,702, 
D,Activity87,710, 
P,Activity88,720, 
P,Activity89,729, 
P,Activity90,740, 
P,Activity91,749, 
S,Activity92,758, 
P,Activity93,769, 
P,Activity94,776, 
S,Activity95,782, 
P,Activity96,793, 
P,Activity97,804, 
P,Activity98,813, 
P,Activity99,820, 
P,Activity100,830, 
E,EndShift,845, 
