Equipment:1
Date:4
Shift:2
Type,Activity,TimeStart,Other
P,Activity1,0, 
D,Activity2,10, 
P,Activity3,17, 
P,Activity4,25, 
P,Activity5,31, 
P,Activity6,38, 
P,Activity7,44, 
D,Activity8,55, 
P,Activity9,62, 
P,Activity10,73, 
P,Activity11,83, 
S,Activity12,93, 
P,Activity13,100, 
P,Activity14,111, 
S,Activity15,122, 
P,Activity16,129, 
P,Activity17,139, 
P,Activity18,146, 
D,Activity19,155, 
S,Activity20,163, 
P,Activity21,172, 
D,Activity22,180, 
D,Activity23,191, 
P,Activity24,199, 
S,Activity25,206, 
S,Activity26,213, 
P,Activity27,220, 
P,Activity28,229, 
P,Activity29,237, 
P,Activity30,247, 
D,Activity31,255, 
S,Activity32,263, 
S,Activity33,271, 
P,Activity34,280, 
S,Activity35,288, 
S,Activity36,299, 
P,Activity37,307, 
P,Activity38,316, 
P,Activity39,325, 
S,Activity40,336, 
P,Activity41,345, 
S,Activity42,355, 
S,Activity43,364, 
P,Activity44,371, 
S,Activity45,378, 
P,Activity46,386, 
S,Activity47,395, 
S,Activity48,402, 
P,Activity49,412, 
D,Activity50,420, 
S,Activity51,427, 
P,Activity52,435, 
P,Activity53,442, 
P,Activity54,452, 
D,Activity55,461, 
S,Activity56,467, 
S,Activity57,475, 
P,Activity58,483, 
D,Activity59,493, 
P,Activity60,501, 
P,Activity61,510, 
P,Activity62,519, 
S,Activity63,528, 
D,Activity64,535, 
P,Activity65,541, 
S,Activity66,551, 
P,Activity67,561, 
S,Activity68,570, 
P,Activity69,576, 
P,Activity70,586, 
P,Activity71,595, 
P,Activity72,605, 
D,Activity73,616, 
S,Activity74,627, 
P,Activity75,636, 
S,Activity76,645, 
P,Activity77,656, 
D,Activity78,662, 
S,Activity79,670, 
S,Activity80,679, 
S,Activity81,686, 
P,Activity82,694, 
P,Activity83,705, 
S,Activity84,711, 
S,Activity85,719, 
P,Activity86,727, 
P,Activity87,736, 
S,Activity88,742, 
P,Activity89,753, 
P,Activity90,761, 
P,Activity91,767, 
D,Activity92,775, 
S,Activity93,784, 
P,Activity94,790, 
D,Activity95,798, 
D,Activity96,806, 
D,Activity97,815, 
P,Activity98,826, 
S,Activity99,832, 
P,Activity100,840, 
E,EndShift,848, 
