Equipment:1
Date:2017-2-9
Shift:2
Type,Activity,TimeStart,Other
P,Activity1,0, 
P,Activity2,6, 
D,Activity3,15, 
D,Activity4,24, 
P,Activity5,30, 
S,Activity6,38, 
S,Activity7,46, 
P,Activity8,55, 
S,Activity9,61, 
P,Activity10,68, 
P,Activity11,79, 
P,Activity12,90, 
P,Activity13,99, 
P,Activity14,106, 
P,Activity15,117, 
P,Activity16,128, 
S,Activity17,139, 
P,Activity18,145, 
P,Activity19,156, 
S,Activity20,166, 
S,Activity21,174, 
S,Activity22,185, 
S,Activity23,193, 
P,Activity24,202, 
P,Activity25,208, 
S,Activity26,219, 
S,Activity27,228, 
P,Activity28,237, 
P,Activity29,247, 
P,Activity30,253, 
S,Activity31,262, 
S,Activity32,273, 
S,Activity33,280, 
P,Activity34,291, 
P,Activity35,301, 
S,Activity36,307, 
S,Activity37,313, 
S,Activity38,320, 
S,Activity39,327, 
S,Activity40,336, 
P,Activity41,346, 
P,Activity42,356, 
P,Activity43,362, 
S,Activity44,370, 
P,Activity45,377, 
D,Activity46,388, 
S,Activity47,394, 
P,Activity48,405, 
P,Activity49,414, 
P,Activity50,421, 
S,Activity51,431, 
P,Activity52,441, 
D,Activity53,452, 
D,Activity54,461, 
P,Activity55,470, 
P,Activity56,479, 
S,Activity57,488, 
P,Activity58,498, 
P,Activity59,509, 
P,Activity60,515, 
D,Activity61,524, 
S,Activity62,532, 
S,Activity63,538, 
D,Activity64,546, 
P,Activity65,557, 
S,Activity66,563, 
S,Activity67,570, 
P,Activity68,581, 
D,Activity69,590, 
P,Activity70,597, 
P,Activity71,603, 
P,Activity72,610, 
S,Activity73,620, 
P,Activity74,630, 
P,Activity75,639, 
S,Activity76,647, 
P,Activity77,654, 
P,Activity78,664, 
S,Activity79,672, 
P,Activity80,678, 
P,Activity81,685, 
D,Activity82,694, 
S,Activity83,702, 
P,Activity84,712, 
S,Activity85,721, 
P,Activity86,731, 
P,Activity87,741, 
S,Activity88,748, 
D,Activity89,758, 
P,Activity90,769, 
S,Activity91,779, 
P,Activity92,786, 
S,Activity93,792, 
P,Activity94,803, 
P,Activity95,814, 
S,Activity96,824, 
P,Activity97,833, 
P,Activity98,839, 
P,Activity99,849, 
S,Activity100,859, 
E,EndShift,874, 
