Equipment:1
Date:3
Shift:1
Type,Activity,TimeStart,Other
S,Activity1,0, 
P,Activity2,11, 
P,Activity3,19, 
P,Activity4,28, 
P,Activity5,36, 
P,Activity6,45, 
P,Activity7,55, 
S,Activity8,66, 
S,Activity9,77, 
S,Activity10,87, 
S,Activity11,97, 
S,Activity12,108, 
S,Activity13,115, 
S,Activity14,126, 
S,Activity15,135, 
P,Activity16,141, 
D,Activity17,147, 
P,Activity18,155, 
P,Activity19,162, 
D,Activity20,172, 
S,Activity21,181, 
S,Activity22,189, 
P,Activity23,197, 
P,Activity24,207, 
P,Activity25,213, 
S,Activity26,221, 
P,Activity27,232, 
D,Activity28,242, 
S,Activity29,253, 
P,Activity30,261, 
P,Activity31,269, 
P,Activity32,280, 
P,Activity33,289, 
D,Activity34,297, 
S,Activity35,303, 
P,Activity36,314, 
D,Activity37,320, 
P,Activity38,326, 
S,Activity39,334, 
S,Activity40,344, 
D,Activity41,351, 
P,Activity42,358, 
P,Activity43,367, 
P,Activity44,374, 
P,Activity45,383, 
D,Activity46,389, 
S,Activity47,395, 
P,Activity48,406, 
P,Activity49,412, 
P,Activity50,422, 
P,Activity51,431, 
S,Activity52,441, 
P,Activity53,447, 
S,Activity54,457, 
P,Activity55,466, 
S,Activity56,473, 
P,Activity57,479, 
P,Activity58,487, 
S,Activity59,493, 
S,Activity60,502, 
P,Activity61,512, 
D,Activity62,521, 
P,Activity63,530, 
S,Activity64,539, 
S,Activity65,545, 
S,Activity66,551, 
S,Activity67,560, 
P,Activity68,568, 
P,Activity69,577, 
S,Activity70,583, 
P,Activity71,590, 
P,Activity72,598, 
S,Activity73,609, 
P,Activity74,619, 
P,Activity75,630, 
P,Activity76,636, 
P,Activity77,642, 
D,Activity78,652, 
P,Activity79,660, 
S,Activity80,667, 
P,Activity81,675, 
D,Activity82,681, 
D,Activity83,690, 
P,Activity84,696, 
D,Activity85,705, 
P,Activity86,713, 
S,Activity87,724, 
P,Activity88,733, 
P,Activity89,742, 
S,Activity90,750, 
P,Activity91,760, 
S,Activity92,766, 
P,Activity93,773, 
P,Activity94,779, 
P,Activity95,789, 
P,Activity96,798, 
P,Activity97,805, 
S,Activity98,811, 
P,Activity99,821, 
P,Activity100,828, 
E,EndShift,845, 
